ticker,KPOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-25,0.0
2009-12-14,-74.0
2010-03-29,130.7692
2010-04-06,433.3333
2010-04-07,10.0
2010-04-15,0.0
2010-05-28,120.4545
2010-06-01,-1.0309
2010-06-08,0.0
2010-06-11,6.25
2010-06-14,0.0
2010-06-15,-1.9607999999999999
2010-06-16,6.0
2010-06-17,-1.8868
2010-06-18,3.3654
2010-06-21,1.3953
2010-06-22,1.2844
2010-06-23,14.1304
2010-06-24,-10.3175
2010-06-25,-16.8142
2010-06-28,-11.1702
2010-06-29,-8.982
2010-06-30,-7.8947
2010-07-01,-4.2857
2010-07-02,34.3284
2010-07-06,-4.4444
2010-07-07,11.6279
2010-07-08,2.0833
2010-07-09,-2.0408
2010-07-12,0.0
2010-07-13,4.1667
2010-07-14,-10.0
2010-07-15,15.5556
2010-07-16,5.7692
2010-07-19,-9.0909
2010-07-20,0.0
2010-07-21,-4.0
2010-07-22,-6.25
2010-07-23,11.1111
2010-07-26,-13.0
2010-07-27,0.0
2010-07-28,2.2989
2010-07-29,1.1236
2010-07-30,0.0
2010-08-02,-22.2222
2010-08-03,8.5714
2010-08-04,2.6316
2010-08-05,-2.5641
2010-08-06,18.4211
2010-08-09,-11.1111
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,-12.5
2010-08-13,0.0
2010-08-16,2.8571
2010-08-17,0.0
2010-08-19,8.3333
2010-08-20,0.0
2010-08-24,-10.2564
2010-08-25,-20.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-07,0.0
2010-09-08,21.4286
2010-09-13,-26.4706
2010-09-14,0.0
2010-09-16,4.0
2010-09-17,-34.6154
2010-09-21,47.0588
2010-09-22,-18.0
2010-09-23,-2.439
2010-09-24,10.0
2010-09-27,-11.3636
2010-09-28,0.0
2010-09-29,-2.5641
2010-09-30,-10.526299999999999
2010-10-01,-23.5294
2010-10-04,0.0
2010-10-05,-6.9231
2010-10-06,33.8843
2010-10-07,-22.8395
2010-10-08,0.0
2010-10-11,-4.0
2010-10-12,33.3333
2010-10-15,-25.0
2010-10-18,0.0
2010-10-19,0.8333
2010-10-20,0.0
2010-10-21,40.4959
2010-10-22,-17.647100000000002
2010-10-25,17.8571
2010-10-26,3.0303
2010-10-27,-5.8824
2010-10-28,0.0
2010-10-29,0.0
2010-11-01,6.25
2010-11-02,-11.7647
2010-11-03,0.0
2010-11-04,10.0
