ticker,BTBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-21,2.6471999999999998
2018-03-22,-3.0007
2018-03-23,1.1978
2018-03-26,-3.3318
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-04-02,-2.2222
2018-04-03,10.2045
2018-04-04,-3.4853
2018-04-05,0.7692
2018-04-06,0.7209
2018-04-09,1.6632
2018-04-10,1.2631999999999999
2018-04-11,-0.593
2018-04-12,1.8309
2018-04-13,-0.4909
2018-04-16,-5.1708
2018-04-17,5.4592
2018-04-18,0.4872
2018-04-19,-1.8182
2018-04-20,0.6132
2018-04-23,0.2086
2018-04-24,1.0184
2018-04-25,1.2728
2018-04-26,8.3205
2018-04-27,4.9724
2018-04-30,1.9298
2018-05-01,-11.1876
2018-05-02,8.3314
2018-05-03,-1.2505
2018-05-04,-9.4203
2018-05-07,6.0
2018-05-08,1.8868
2018-05-09,3.5
2018-05-10,-7.6758
2018-05-11,8.7016
2018-05-14,-1.0519
2018-05-15,0.0
2018-05-16,4.9676
2018-05-17,2.9181
2018-05-18,3.4074
2018-05-21,2.2580999999999998
2018-05-22,-2.2082
2018-05-23,10.9677
2018-05-24,-4.5058
2018-05-25,2.2831
2018-05-29,0.1488
2018-05-30,-4.9183
2018-05-31,1.7346
2018-06-01,-0.768
2018-06-04,-4.8003
2018-06-05,-1.6244
2018-06-06,4.2975
2018-06-07,2.5198
2018-06-08,1.8689
2018-06-11,-1.6677
2018-06-12,3.3951000000000002
2018-06-13,-1.5074999999999998
2018-06-14,-0.7441
2018-06-15,12.9636
2018-06-18,-2.4192
2018-06-19,-2.1814
2018-06-20,-1.103
2018-06-21,-11.0901
2018-06-22,3.8647
2018-06-25,9.9225
2018-06-26,-4.2976
2018-06-27,-8.3165
2018-06-28,-3.3917
2018-06-29,-4.3261
2018-07-02,6.5426
2018-07-03,-1.1459
2018-07-05,-0.9247
2018-07-06,8.1667
2018-07-09,1.0786
2018-07-10,2.2866
2018-07-11,-0.149
2018-07-12,3.4328
2018-07-13,4.329
2018-07-16,3.6584
2018-07-17,1.2743
2018-07-18,0.1318
2018-07-19,2.9079
2018-07-20,2.1596
2018-07-23,0.7397
2018-07-24,-3.3545
2018-07-25,2.841
2018-07-26,-1.5
2018-07-27,3.7208
2018-07-30,1.1844000000000001
2018-07-31,8.8271
2018-08-01,-5.5556
2018-08-02,-0.9412
2018-08-03,-0.9501
2018-08-06,-5.5372
2018-08-07,-6.3466000000000005
2018-08-08,-2.1916
