ticker,NWE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-03,-0.521
2004-11-04,0.7252
2004-11-05,0.0
2004-11-08,0.0
2004-11-09,-0.12
2004-11-10,0.1201
2004-11-11,0.24
2004-11-12,0.9178
2004-11-15,0.514
2004-11-16,1.4949
2004-11-17,-0.6977
2004-11-18,1.0929
2004-11-19,-0.5792
2004-11-22,0.1903
2004-11-23,0.0039
2004-11-24,0.3488
2004-11-26,0.4249
2004-11-29,-1.0385
2004-11-30,-0.3109
2004-12-01,0.117
2004-12-02,0.4673
2004-12-03,-0.1512
2004-12-06,-0.0815
2004-12-07,-0.1554
2004-12-08,-0.3502
2004-12-09,-0.5857
2004-12-10,-0.0393
2004-12-13,-0.0393
2004-12-14,0.3145
2004-12-15,0.2743
2004-12-16,0.5471
2004-12-17,8.8224
2004-12-20,0.0
2004-12-21,-0.1786
2004-12-22,-0.6798
2004-12-23,-0.5403
2004-12-27,0.326
2004-12-28,1.0469
2004-12-29,-0.3215
2004-12-30,0.3226
2004-12-31,0.0357
2005-01-03,0.5679
2005-01-04,0.1456
2005-01-05,0.4965
2005-01-06,0.2117
2005-01-07,0.1408
2005-01-10,-0.3165
2005-01-11,0.4586
2005-01-12,0.0702
2005-01-13,-0.0246
2005-01-14,0.0246
2005-01-18,0.0
2005-01-19,-0.2105
2005-01-20,-0.6681
2005-01-21,-0.3894
2005-01-24,-0.4975
2005-01-25,0.0
2005-01-26,0.25
2005-01-27,0.1401
2005-01-28,0.5005
2005-01-31,0.3894
2005-02-01,-0.0353
2005-02-02,0.0705
2005-02-03,0.4582
2005-02-04,-0.0882
2005-02-07,0.9662
2005-02-08,-0.3478
2005-02-09,0.2443
2005-02-10,-0.2437
2005-02-11,-1.6404999999999998
2005-02-14,-0.4613
2005-02-15,-0.2139
2005-02-16,0.3573
2005-02-17,-0.2492
2005-02-18,0.1428
2005-02-22,-1.4612
2005-02-23,-0.3978
2005-02-24,0.7625
2005-02-25,1.2612999999999999
2005-02-28,-0.5694
2005-03-01,0.2147
2005-03-02,1.1071
2005-03-03,0.4592
2005-03-04,0.3516
2005-03-07,0.0701
2005-03-08,0.105
2005-03-09,-1.7139
2005-03-10,0.0712
2005-03-11,0.1422
2005-03-14,-1.0653
2005-03-15,0.5025
2005-03-16,-1.4285999999999999
2005-03-17,-0.5072
2005-03-18,-1.9301
2005-03-21,-0.6684
2005-03-22,-1.8317999999999999
2005-03-23,-1.1905000000000001
2005-03-24,2.6428000000000003
