ticker,HVBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-13,2.3409
2017-01-17,0.0715
2017-01-18,0.7143
2017-01-19,-0.1773
2017-01-20,-0.3908
2017-01-23,-0.3615
2017-01-24,-0.2814
2017-01-25,0.2872
2017-01-26,-0.2161
2017-01-27,-0.0704
2017-01-30,0.8695
2017-01-31,0.2055
2017-02-01,-0.5105
2017-02-02,0.2989
2017-02-03,0.0
2017-02-06,0.0
2017-02-07,-0.3559
2017-02-08,0.0009
2017-02-09,0.0348
2017-02-10,-0.0357
2017-02-13,-0.0714
2017-02-14,-0.5727
2017-02-15,0.6479
2017-02-16,0.0
2017-02-17,-0.3571
2017-02-21,0.9319
2017-02-22,-0.071
2017-02-23,0.5686
2017-02-24,0.0707
2017-02-27,0.2825
2017-02-28,-0.4577
2017-03-01,-0.3184
2017-03-02,-0.5678
2017-03-03,0.0
2017-03-06,-0.0714
2017-03-07,0.6429
2017-03-08,-0.2129
2017-03-09,-0.1422
2017-03-10,0.0
2017-03-13,1.3533
2017-03-14,-0.3514
2017-03-15,0.3173
2017-03-16,1.1248
2017-03-17,-4.4143
2017-03-20,3.1273
2017-03-21,-1.6219999999999999
2017-03-23,0.5018
2017-03-27,0.9986
2017-03-29,-1.1653
2017-03-30,0.0357
2017-03-31,0.3571
2017-04-03,-0.2847
2017-04-04,-0.3569
2017-04-05,-0.1433
2017-04-06,0.2152
2017-04-07,0.0716
2017-04-10,0.5722
2017-04-13,-0.7824
2017-04-17,0.3584
2017-04-18,-0.3571
2017-04-19,0.9319
2017-04-20,-0.6392
2017-04-21,0.143
2017-04-24,-0.0714
2017-04-25,0.1429
2017-04-26,1.1283
2017-04-27,0.1538
2017-04-28,0.2817
2017-05-01,-1.3343
2017-05-02,1.21
2017-05-04,-0.7032
2017-05-05,-0.1416
2017-05-08,0.5674
2017-05-10,0.5642
2017-05-11,0.2814
2017-05-12,0.3488
2017-05-15,-1.2544
2017-05-17,1.1997
2017-05-18,-0.7671
2017-05-19,0.1414
2017-05-23,0.5605
2017-05-24,0.0
2017-05-25,-0.0698
2017-05-26,-0.3889
2017-05-30,-0.0302
2017-05-31,-0.0701
2017-06-01,-0.2105
2017-06-02,-0.0703
2017-06-05,0.6334
2017-06-06,-0.2797
2017-06-07,-0.0701
2017-06-08,0.7719
2017-06-09,0.2208
2017-06-12,-0.0118
2017-06-13,-0.0695
2017-06-14,-0.5563
2017-06-15,0.4196
2017-06-16,0.2089
2017-06-19,-0.0695
