ticker,HX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-03,26.6
2017-11-06,-13.2701
2017-11-07,0.9107
2017-11-08,-1.1733
2017-11-09,0.9132
2017-11-10,6.3347999999999995
2017-11-13,7.6596
2017-11-14,-1.0277
2017-11-15,8.7859
2017-11-16,2.7166
2017-11-17,-1.7155
2017-11-20,-6.6182
2017-11-21,1.7134
2017-11-22,1.3783
2017-11-24,0.5287
2017-11-27,-1.2029
2017-11-28,-1.292
2017-11-29,-4.3914
2017-11-30,-0.4029
2017-12-01,-5.8252
2017-12-04,-1.1168
2017-12-05,0.8688
2017-12-06,-3.1008
2017-12-07,-2.2222
2017-12-08,2.4545
2017-12-11,1.6859
2017-12-12,-2.8796
2017-12-13,0.3594
2017-12-14,0.4476
2017-12-15,-0.4456
2017-12-18,-0.5372
2017-12-19,-0.9901
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-26,-1.8182
2017-12-27,4.6296
2017-12-28,-2.1239
2017-12-29,-0.0904
2018-01-02,1.9005
2018-01-03,1.0657
2018-01-04,2.5158
2018-01-05,-0.2254
2018-01-08,-2.7491
2018-01-09,0.7067
2018-01-10,-4.8246
2018-01-11,-0.4608
2018-01-12,0.0
2018-01-16,0.5556
2018-01-17,-2.9466
2018-01-18,0.1898
2018-01-19,1.6098
2018-01-22,-0.932
2018-01-23,-2.54
2018-01-24,0.2886
2018-01-25,0.7709
2018-01-26,0.0955
2018-01-29,0.2863
2018-01-30,0.0
2018-01-31,0.3806
2018-02-01,-0.3791
2018-02-02,-1.9981
2018-02-05,13.5922
2018-02-06,-8.1197
2018-02-07,-0.186
2018-02-08,-3.2619
2018-02-09,-0.7707
2018-02-12,0.3883
2018-02-13,0.4836
2018-02-14,-0.0953
2018-02-15,4.0452
2018-02-16,-1.5741
2018-02-20,1.1289
2018-02-21,0.4651
2018-02-22,-1.7593
2018-02-23,0.8483
2018-02-26,2.8037
2018-02-27,0.0
2018-02-28,-2.2727
2018-03-01,-2.5116
2018-03-02,-0.7634
2018-03-05,4.8077
2018-03-06,3.8532
2018-03-07,2.4735
2018-03-08,2.5862
2018-03-09,-2.9412000000000003
2018-03-12,3.2355
2018-03-13,3.4041
2018-03-14,-1.8622
2018-03-15,-2.8926
2018-03-16,-1.4468
2018-03-19,2.7634
2018-03-20,2.6891
2018-03-21,-0.982
2018-03-22,-4.1322
2018-03-23,-2.931
2018-03-26,2.2202
2018-03-27,2.6064
2018-03-28,-2.5402
