ticker,SAYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-25,14.2308
2014-09-17,1.0101
2014-09-29,26.6667
2014-10-14,26.3158
2014-10-20,20.8333
