ticker,FTXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-29,33.3333
2016-06-15,11700.0
2016-06-16,-11.8644
2016-06-17,43.2692
2016-06-20,-12.7433
2016-06-21,15.3639
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,2.0002
2016-06-27,-1.3073000000000001
2016-06-28,1.3246
2016-06-30,0.0
2016-07-01,3.2763999999999998
2016-07-08,-0.0079
2016-07-14,-2.5239000000000003
2016-07-18,0.0
2016-07-19,0.6494
2016-07-20,0.0
2016-07-21,0.6452
2016-07-22,0.0
2016-07-25,0.641
2016-07-26,0.6369
2016-07-27,0.0
2016-07-28,0.6329
2016-07-29,0.0
2016-08-01,0.0
2016-08-03,0.6289
2016-08-04,0.0
2016-08-08,0.0
2016-08-09,1.25
2016-08-10,1.2346
2016-08-11,0.9756
2016-08-12,0.8454
2016-08-16,-0.1796
2016-08-17,0.7798
2016-08-18,0.5952
2016-08-19,0.5917
2016-08-22,0.0
2016-08-23,0.5882
2016-08-25,-0.4496
2016-08-26,0.4516
2016-08-29,0.5775
2016-08-30,0.5887
2016-08-31,0.578
2016-09-01,0.5747
2016-09-02,-0.5714
2016-09-06,0.5747
2016-09-07,0.0
2016-09-08,0.5714
2016-09-09,0.0
2016-09-12,1.1364
2016-09-13,0.0
2016-09-14,0.5618
2016-09-15,0.5587
2016-09-16,0.5556
2016-09-19,-0.5525
2016-09-20,1.1111
2016-09-21,-0.5495
2016-09-22,1.105
2016-09-23,-0.5464
2016-09-26,0.0
2016-09-27,0.5495
2016-09-28,0.0
2016-09-29,0.5464
2016-09-30,0.5435
2016-10-03,-0.5405
2016-10-04,1.087
2016-10-05,-0.0067
2016-10-06,0.0067
2016-10-07,1.0753
2016-10-10,-0.5319
2016-10-11,-1.0695000000000001
2016-10-12,2.7027
2016-10-13,-2.6316
2016-10-14,3.2432
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,0.0
2016-10-25,0.5236
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,-0.5208
2016-10-31,0.0
2016-11-01,-0.5236
2016-11-02,0.5263
2016-11-03,0.5236
2016-11-04,0.0
2016-11-07,0.0
2016-11-08,0.5208
2016-11-09,-0.6736
2016-11-10,0.6781
2016-11-11,1.0363
2016-11-14,0.5128
2016-11-15,2.5446
2016-11-16,1.4988000000000001
2016-11-17,0.0
2016-11-18,-2.9412000000000003
2016-11-21,-1.5152
2016-11-22,0.0
2016-11-23,0.0
