ticker,MTLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.454
2000-01-04,-6.2893
2000-01-05,-4.698
2000-01-06,0.7042
2000-01-07,-7.6923
2000-01-10,4.9242
2000-01-11,2.5271
2000-01-12,5.6338
2000-01-13,4.0
2000-01-14,6.4103
2000-01-18,4.2169
2000-01-19,1.1561
2000-01-20,0.5714
2000-01-21,15.3409
2000-01-24,-4.9261
2000-01-25,-5.6995000000000005
2000-01-26,-1.6484
2000-01-27,7.2626
2000-01-28,-3.125
2000-01-31,-5.1075
2000-02-01,0.0
2000-02-02,22.3796
2000-02-03,1.3889
2000-02-04,-5.2511
2000-02-07,11.5663
2000-02-08,5.8315
2000-02-09,-0.8163
2000-02-10,0.823
2000-02-11,25.5102
2000-02-14,0.1626
2000-02-15,-1.9481000000000002
2000-02-16,-7.2848
2000-02-17,3.5714
2000-02-18,7.5862
2000-02-22,20.5128
2000-02-23,4.2553
2000-02-24,8.1633
2000-02-25,-1.4151
2000-02-28,-10.2871
2000-02-29,6.1333
2000-03-01,6.7839
2000-03-02,6.3529
2000-03-03,3.0973
2000-03-06,21.2446
2000-03-07,-2.3009
2000-03-08,4.3478
2000-03-09,-3.8194
2000-03-10,-7.7617
2000-03-13,-9.0998
2000-03-14,-11.3025
2000-03-15,-9.7087
2000-03-16,18.5484
2000-03-17,-2.7211
2000-03-20,-5.8275
2000-03-21,-3.4653
2000-03-22,-2.3077
2000-03-23,8.399000000000001
2000-03-24,2.3002000000000002
2000-03-27,-11.0059
2000-03-28,2.1277
2000-03-29,-12.5
2000-03-30,-9.8214
2000-03-31,1.3201
2000-04-03,-16.6124
2000-04-04,-8.9844
2000-04-05,-4.2918
2000-04-06,5.8296
2000-04-07,31.3559
2000-04-10,-7.0968
2000-04-11,-4.1667
2000-04-12,-14.4928
2000-04-13,-20.7627
2000-04-14,-28.3422
2000-04-17,-5.9701
2000-04-18,23.8095
2000-04-19,20.5128
2000-04-20,-0.5319
2000-04-24,-11.7647
2000-04-25,14.5455
2000-04-26,20.634900000000002
2000-04-27,11.4035
2000-04-28,-10.0394
2000-05-01,29.1028
2000-05-02,-10.5085
2000-05-03,-9.2803
2000-05-04,5.8455
2000-05-05,0.5917
2000-05-08,-4.902
2000-05-09,-4.7423
2000-05-10,-11.4719
2000-05-11,5.6235
2000-05-12,1.8519
2000-05-15,-5.4545
2000-05-16,7.4519
2000-05-17,9.1723
2000-05-18,-4.918
2000-05-19,-7.7586
2000-05-22,-6.5421
