ticker,SOEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-08,10.2941
2006-03-09,33.3333
2006-03-13,-30.0
2006-03-16,10.0
2006-03-17,-5.1948
2006-03-28,-0.6849
2006-03-29,0.6897
2006-03-30,2.7397
2006-03-31,-0.6667
2006-04-03,7.3826
2006-04-04,0.0
2006-04-05,0.0
2006-04-06,0.625
2006-04-07,8.0745
2006-04-10,8.6207
2006-04-11,19.5767
2006-04-12,12.3894
2006-04-13,-6.2992
2006-04-17,5.042
2006-04-18,1.6
2006-04-19,3.1496
2006-04-20,-4.5802
2006-04-21,1.6
2006-04-24,-3.9370000000000003
2006-04-25,4.918
2006-04-26,9.375
2006-04-27,-3.5714
2006-04-28,3.3333
2006-05-01,-5.3763
2006-05-02,-7.5758
2006-05-03,6.5574
2006-05-04,0.0
2006-05-05,3.0769
2006-05-08,5.9701
2006-05-09,2.8169
2006-05-10,4.7945
2006-05-11,-5.8824
2006-05-12,-12.1528
2006-05-15,2.7668
2006-05-16,3.0769
2006-05-17,2.9851
2006-05-18,2.8986
2006-05-19,-2.1127
2006-05-22,-1.9424000000000001
2006-05-23,4.182
2006-05-24,5.625
2006-05-25,1.3418
2006-05-26,-0.6579
2006-05-30,-5.298
2006-05-31,18.1818
2006-06-01,8.8757
2006-06-02,7.8804
2006-06-05,2.267
2006-06-06,0.4926
2006-06-07,-7.3529
2006-06-08,-11.6402
2006-06-09,4.7904
2006-06-12,-3.4286
2006-06-13,-14.2012
2006-06-14,4.1379
2006-06-15,1.9868000000000001
2006-06-16,1.2987
2006-06-19,8.9744
2006-06-20,-2.3529
2006-06-21,-3.012
2006-06-22,-3.7267
2006-06-23,0.0
2006-06-26,8.3871
2006-06-27,7.1429
2006-06-28,-2.7778
2006-06-29,5.7143
2006-06-30,1.0811
2006-07-03,-0.5348
2006-07-05,-2.6882
2006-07-06,2.7624
2006-07-07,2.6882
2006-07-10,-4.1885
2006-07-11,-6.5574
2006-07-12,-0.5848
2006-07-13,-6.4706
2006-07-14,-8.805
2006-07-17,-6.8966
2006-07-18,4.4444
2006-07-19,-4.2553
2006-07-20,-2.2222
2006-07-21,-9.8485
2006-07-24,3.3613
2006-07-25,3.252
2006-07-26,-3.1496
2006-07-27,0.0
2006-07-28,10.5691
2006-07-31,11.7647
2006-08-01,6.5789
2006-08-02,0.6173
2006-08-03,-4.2945
2006-08-04,-1.2821
2006-08-07,0.6494
2006-08-08,-3.2258
2006-08-09,-1.3333
2006-08-10,-2.7027
