ticker,SNGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-11,47.0588
2011-10-24,0.0
2012-03-12,0.0
2012-05-24,-50.0
2013-12-06,-60.0
2017-04-13,1880.0
2018-02-06,-34.3434
2019-04-18,123.0769
2019-04-22,-20.6897
2019-04-23,4.3478
2019-04-24,-16.6667
2019-04-25,0.0
2019-04-26,75.0
2019-04-29,134.2857
2019-04-30,21.9512
2019-05-01,100.0
2019-05-02,0.0
2019-05-03,120.0
2019-05-06,36.3636
2019-05-07,-50.6
2019-05-08,13.0229
2019-05-09,-28.3582
2019-05-10,15.0
2019-05-13,81.1594
2019-05-16,-47.6
2019-05-17,-38.9305
2019-05-20,74.9978
2019-05-21,-35.3571
2019-05-22,22.0994
2019-05-23,1.81
2019-05-28,-2.2222
2019-05-30,6.8182
2019-05-31,1.7021
2019-06-04,-58.159
2019-06-05,160.0
2019-06-06,0.0
2019-06-13,7.6923
2019-06-17,-14.642900000000001
2019-06-25,-16.318
2019-06-26,80.0
2019-06-28,-15.2778
2019-07-01,-18.0328
2019-07-09,0.0
2019-07-10,-4.4
2019-07-12,-33.0544
2019-07-15,12.375
2019-07-17,0.0
2019-07-19,-33.2592
2019-07-30,0.0
2019-08-08,0.0
2019-08-29,66.6667
2019-08-30,0.5
2019-09-03,-0.4975
2019-09-06,40.0
2019-09-09,-28.5714
2019-09-10,11.0
2019-09-11,27.9279
2019-09-24,-11.0563
2019-09-25,-0.9493
2019-09-30,3.916
2019-10-02,-3.2308
2019-10-03,0.0
2019-10-04,-0.3975
2019-10-07,1.5962
2019-10-08,9.2694
2019-10-22,-28.1086
2019-10-23,-29.9997
2019-10-25,42.8551
2019-11-01,-25.0
2019-11-05,-86.6667
2019-11-06,100.0
2019-11-21,-43.995
2019-12-11,-8.9367
2019-12-19,-1.951
2019-12-31,-0.01
2020-01-27,-9.99
2020-02-11,-22.2086
2020-03-02,21.401
2020-03-17,-17.6401
2020-04-17,42.8225
2020-05-14,-44.9945
2020-06-26,1.8182
