ticker,STRZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.7856999999999998
2000-01-04,1.7544
2000-01-05,3.4483
2000-01-06,3.3333
2000-01-10,0.0
2000-01-12,-3.2258
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,5.0
2000-01-19,1.5873
2000-01-20,-3.125
2000-01-21,0.0
2000-01-24,-3.2258
2000-01-25,0.0
2000-01-26,-3.3333
2000-01-27,6.8966
2000-01-28,-6.0484
2000-01-31,-0.4292
2000-02-01,-3.4483
2000-02-02,1.7856999999999998
2000-02-03,0.0
2000-02-04,-1.7544
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,0.8929
2000-02-14,-0.885
2000-02-15,-3.5714
2000-02-16,14.8148
2000-02-17,-12.9032
2000-02-18,-1.8519
2000-02-22,13.2075
2000-02-23,-11.6667
2000-02-28,0.9434
2000-02-29,-0.9346
2000-03-01,0.0
2000-03-03,1.8868
2000-03-06,0.0
2000-03-09,-1.8519
2000-03-10,-1.8868
2000-03-13,0.9615
2000-03-14,0.0
2000-03-15,2.8571
2000-03-16,-1.8519
2000-03-17,1.8868
2000-03-20,-9.2593
2000-03-21,0.0
2000-03-22,10.2041
2000-03-23,-9.2593
2000-03-24,-5.102
2000-03-27,-1.0753
2000-03-28,4.3478
2000-03-29,0.0
2000-03-31,6.25
2000-04-03,-1.9607999999999999
2000-04-05,4.0
2000-04-07,0.0
2000-04-10,-1.9231
2000-04-11,-1.9607999999999999
2000-04-12,-4.0
2000-04-13,0.0
2000-04-14,-14.5833
2000-04-17,7.3171
2000-04-18,0.0
2000-04-19,-4.5455
2000-04-20,7.1429
2000-04-27,4.4444
2000-04-28,0.0
2000-05-01,2.1277
2000-05-02,-5.2083
2000-05-08,-1.0989
2000-05-10,2.2222
2000-05-11,8.6957
2000-05-12,-1.0
2000-05-15,-5.0505
2000-05-18,2.1277
2000-05-19,-8.3333
2000-05-22,0.0
2000-05-23,-1.1364
2000-05-24,-1.1494
2000-05-25,-4.6512
2000-05-26,-2.439
2000-05-30,13.75
2000-05-31,-1.0989
2000-06-01,-2.2222
2000-06-02,0.0
2000-06-05,1.1364
2000-06-07,6.7416
2000-06-08,0.0
2000-06-09,5.2632
2000-06-12,-3.0
2000-06-13,11.3402
2000-06-14,-4.6296
2000-06-19,-10.6796
2000-06-20,9.7826
2000-06-22,2.9703
2000-06-23,0.0
2000-06-27,0.0
2000-06-28,-6.7308
2000-06-29,0.0
