ticker,HLBYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-13,0.0
2014-06-16,20.0
2014-07-25,0.0
2014-07-28,0.0
2014-10-31,58.8889
2014-11-06,4.8951
2014-12-05,-6.0
2014-12-12,2.8369
2015-04-27,-13.7931
2015-04-29,0.0
2015-05-01,0.0
2015-05-26,-4.0
2015-06-11,4.1667
2015-06-15,4.0
2015-09-04,-11.538499999999999
2015-11-04,0.0
2015-11-09,0.0
2015-12-28,-21.7391
2016-03-07,-5.5556
2016-04-18,17.647100000000002
2016-07-28,-5.0
2016-08-10,-10.526299999999999
2016-10-14,0.0
2016-12-22,0.0
2017-01-03,17.647100000000002
2017-01-30,-10.0
2017-02-06,-5.5556
2017-02-28,0.0
2017-03-10,0.0
2017-04-03,11.7647
2017-04-07,0.0
2017-04-10,0.0
2017-04-13,0.0
2017-04-17,5.2632
2017-08-09,-15.0
2018-01-02,-2.3529
2018-01-05,0.0
2018-01-08,0.0
2018-01-16,-3.6145
2018-01-30,2.5
2018-02-09,2.439
2018-03-01,1.1905000000000001
2018-03-09,0.0
2018-03-12,0.0
2018-03-26,0.0
2018-04-30,-5.8824
2018-05-14,6.25
2018-05-21,-5.8824
2018-07-27,-1.25
2018-07-30,0.0
2018-08-13,-1.2658
2018-08-23,2.5641
2018-10-23,0.0
2018-11-14,0.0
2019-02-22,0.0
2019-05-30,-25.0
2019-06-03,-16.6667
2019-07-29,50.0
2019-12-04,-20.0
