ticker,ADTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-30,-43.7778
2020-07-01,-10.0791
2020-07-02,-11.6484
2020-07-06,-7.9602
2020-07-07,4.0541
2020-07-08,-2.0779
2020-07-09,-3.9788
2020-07-10,-11.6022
2020-07-13,6.25
2020-07-14,-8.8235
2020-07-15,-0.9677
2020-07-16,13.355
2020-07-17,1.7241
2020-07-20,12.1469
2020-07-21,8.8161
2020-07-22,-1.6204
2020-07-23,-10.5882
2020-07-24,5.5263
2020-07-27,14.7132
2020-07-28,-13.2609
2020-07-29,-4.01
2020-07-30,-0.7833
2020-07-31,-1.0526
