ticker,OCCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-08,-2.4
2018-10-09,-1.6393
2018-10-10,0.5556
2018-10-11,1.3812
2018-10-12,2.1858
2018-10-15,-0.2725
2018-10-16,0.8021
2018-10-17,0.1061
2018-10-18,-2.3423
2018-10-19,-1.7256
2018-10-22,2.1535
2018-10-23,-2.1622
2018-10-24,0.2762
2018-10-25,-1.1019
2018-10-26,0.2173
2018-10-29,0.0611
2018-10-30,2.555
2018-10-31,1.7454
2018-11-01,-2.833
2018-11-02,1.9889999999999999
2018-11-05,1.7297
2018-11-06,-0.3719
2018-11-07,-0.2165
2018-11-08,-3.7008
2018-11-09,1.6806999999999999
2018-11-12,-0.8264
2018-11-13,1.6689
2018-11-14,-0.7399
2018-11-15,-1.9268
2018-11-16,-1.1513
2018-11-19,-1.7654999999999998
2018-11-20,-2.0175
2018-11-21,-0.1971
2018-11-23,1.8526
2018-11-26,0.9083
2018-11-27,-1.7915999999999999
2018-11-28,0.7321
2018-11-29,-1.7442
2018-11-30,2.5379
2018-12-03,-0.7438
2018-12-04,-1.1628
2018-12-06,0.0
2018-12-07,0.9824
2018-12-10,-3.3529
2018-12-11,1.4607
2018-12-12,-2.5195
2018-12-13,2.8308
2018-12-17,-2.0946
2018-12-18,-0.6724
2018-12-19,-1.6622
2018-12-20,-4.4425
2018-12-21,-4.7806
2018-12-24,7.2902000000000005
2018-12-26,-1.2821
2018-12-27,-0.5779
2018-12-28,-0.3984
2018-12-31,0.0656
2019-01-02,2.9489
2019-01-03,-4.3921
2019-01-04,1.7309999999999999
2019-01-07,0.6545
2019-01-08,2.4057
2019-01-09,1.5873
2019-01-10,-0.1562
2019-01-11,-1.302
2019-01-14,0.9615
2019-01-15,-1.2698
2019-01-16,0.3215
2019-01-17,0.3744
2019-01-18,-0.0536
2019-01-22,-0.5968
2019-01-23,5.8715
2019-01-24,-0.1214
2019-01-25,-1.7295
2019-01-28,0.2134
2019-01-29,-0.8228
2019-01-30,1.7633
2019-01-31,0.9174
2019-02-01,1.7182
2019-02-04,-0.4975
2019-02-05,-0.006
2019-02-06,-0.2904
2019-02-07,-0.1958
2019-02-08,1.4761
2019-02-11,0.0403
2019-02-12,0.3065
2019-02-13,-0.3055
2019-02-14,0.1186
2019-02-15,0.0592
2019-02-19,0.5917
2019-02-20,-0.9
2019-02-21,0.2398
2019-02-22,1.0766
2019-02-25,-1.1834
2019-02-26,1.0623
2019-02-27,-0.8141
2019-02-28,1.2545
