ticker,KMPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5781
2000-01-04,-2.4473
2000-01-05,2.4654
2000-01-06,-0.5488
2000-01-07,2.292
2000-01-10,-3.2365
2000-01-11,0.1715
2000-01-12,-2.3116
2000-01-13,0.9641
2000-01-14,1.9965000000000002
2000-01-18,0.2553
2000-01-19,1.528
2000-01-20,-0.5017
2000-01-21,0.084
2000-01-24,-4.618
2000-01-25,0.7042
2000-01-26,-0.6993
2000-01-27,-1.0563
2000-01-28,-0.3559
2000-01-31,2.8571
2000-02-01,-4.1667
2000-02-02,0.0
2000-02-03,4.529
2000-02-04,-0.7799
2000-02-07,-0.0873
2000-02-08,1.3986
2000-02-09,-2.069
2000-02-10,-1.7606000000000002
2000-02-11,0.3584
2000-02-14,-1.7147999999999999
2000-02-15,2.2957
2000-02-16,-0.8977
2000-02-17,0.1812
2000-02-18,-0.3617
2000-02-22,0.5445
2000-02-23,0.5415
2000-02-24,-1.9748999999999999
2000-02-25,-1.0989
2000-02-28,1.1111
2000-02-29,-0.5495
2000-03-01,-0.6446
2000-03-02,-5.6533999999999995
2000-03-03,-0.5894
2000-03-06,-0.9881
2000-03-07,2.1955999999999998
2000-03-08,-1.3672
2000-03-09,1.9802
2000-03-10,2.4272
2000-03-13,0.4739
2000-03-14,-0.9434
2000-03-15,0.7619
2000-03-16,8.6957
2000-03-17,-4.6957
2000-03-20,4.927
2000-03-21,2.2609
2000-03-22,-0.3401
2000-03-23,1.5358
2000-03-24,3.5294
2000-03-27,-2.5974
2000-03-28,-1.6667
2000-03-29,-2.8814
2000-03-30,1.2216
2000-03-31,9.6552
2000-04-03,-2.8302
2000-04-04,-2.4272
2000-04-05,3.3167
2000-04-06,-4.0128
2000-04-07,-0.9197
2000-04-10,0.2532
2000-04-11,-4.0404
2000-04-12,1.7544
2000-04-13,-2.5862
2000-04-14,-3.0088
2000-04-17,-0.5474
2000-04-18,4.5872
2000-04-19,-5.4386
2000-04-20,-2.7829
2000-04-24,3.0534
2000-04-25,0.0
2000-04-26,-1.2963
2000-04-27,-0.9381
2000-04-28,2.2727
2000-05-01,-2.963
2000-05-02,1.9083999999999999
2000-05-03,-3.5581
2000-05-04,2.9126
2000-05-05,-0.9434
2000-05-08,0.0
2000-05-09,3.0476
2000-05-10,-2.7725999999999997
2000-05-11,2.8517
2000-05-12,-1.756
2000-05-15,-1.0466
2000-05-16,0.3846
2000-05-17,-0.5747
2000-05-18,0.0
2000-05-19,-0.9634
