ticker,SRNW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-20,-0.6623
2007-11-29,6.6667
2007-11-30,0.0
2007-12-03,-6.25
2007-12-04,3.3333
2007-12-05,6.4516
2007-12-06,0.0
2007-12-10,0.0
2007-12-11,0.0
2007-12-12,0.0
2007-12-13,0.0
2007-12-14,0.0
2007-12-17,-9.0909
2007-12-18,10.0
2007-12-19,0.0
2007-12-20,6.0606
2007-12-21,0.0
2007-12-24,0.0
2007-12-26,-5.7143
2007-12-27,0.0
2007-12-28,6.0606
2007-12-31,0.0
2008-01-02,0.0
2008-01-03,-8.5714
2008-01-07,9.375
2008-01-08,2.8571
2008-01-09,0.0
2008-01-10,-11.1111
2008-01-11,0.0
2008-01-15,-6.25
2008-01-16,6.6667
2008-01-18,-1.25
2008-01-22,1.2658
2008-01-24,6.25
2008-01-25,-5.8824
2008-01-30,0.0
2008-01-31,0.0
2008-02-01,0.0
2008-02-07,0.0
2008-02-15,6.25
2008-02-20,5.8824
2008-02-21,-5.5556
2008-02-22,0.0
2008-02-25,5.8824
2008-02-26,0.0
2008-02-27,0.0
2008-02-29,-11.1111
2008-03-04,0.625
2008-03-06,11.8012
2008-03-10,2.7778
2008-03-11,0.5405
2008-03-12,2.1505
2008-03-17,-1.0526
2008-03-18,0.5319
2008-03-19,-15.3439
2008-03-24,0.0
2008-03-26,17.5
2008-03-31,-14.8936
2008-04-25,18.75
2008-04-28,-15.7895
2008-05-01,0.0
2008-05-02,0.0
2008-05-14,-6.25
2008-05-15,6.6667
2008-05-16,0.0
2008-05-22,6.25
2008-05-27,0.0
2008-05-28,0.0
2008-05-29,0.0
2008-05-30,0.0
2008-06-09,-29.4118
2008-06-12,41.6667
2008-06-16,-17.647100000000002
2008-06-25,21.4286
2008-06-26,0.0
2008-07-11,-17.647100000000002
2008-07-21,20.7143
2008-07-25,-2.3669000000000002
2008-08-04,-21.2121
2008-08-11,30.7692
2008-08-18,-23.5294
2008-08-26,30.7692
2008-09-02,0.0
2008-09-16,-17.647100000000002
2008-09-25,28.5714
2008-09-30,-22.2222
2008-10-01,0.0
2008-10-27,0.0
2008-10-31,0.0
2008-11-11,-7.1429
2008-11-12,-7.6923
2008-11-13,-33.3333
2008-11-14,6.25
2008-11-17,0.0
2008-11-18,5.8824
2008-11-19,-5.5556
2008-11-20,-5.8824
2008-11-21,-2.5
2008-11-24,12.8205
2008-11-25,-2.2727
2008-11-26,-1.1628
2008-11-28,-11.7647
2008-12-01,2.6667
