ticker,GATX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6667
2000-01-04,-6.4030000000000005
2000-01-05,2.8169
2000-01-06,0.1957
2000-01-07,0.7813
2000-01-10,0.1938
2000-01-11,-1.1605
2000-01-12,0.7828
2000-01-13,0.9709
2000-01-14,-1.3462
2000-01-18,-0.9747
2000-01-19,0.1969
2000-01-20,0.3929
2000-01-21,-0.3914
2000-01-24,-1.3752
2000-01-25,-3.3865
2000-01-26,-2.4742
2000-01-27,-1.0571
2000-01-28,-2.3504
2000-01-31,0.6565
2000-02-01,1.7391
2000-02-02,0.2137
2000-02-03,2.3454
2000-02-04,0.4167
2000-02-07,0.0
2000-02-08,-0.2075
2000-02-09,-0.4158
2000-02-10,0.4175
2000-02-11,-0.6237
2000-02-14,-2.0921
2000-02-15,5.9829
2000-02-16,-0.2016
2000-02-17,-3.0303
2000-02-18,-0.2083
2000-02-22,3.7578
2000-02-23,-2.6157
2000-02-24,-2.0661
2000-02-25,-1.4768
2000-02-28,0.8565
2000-02-29,5.7325
2000-03-01,3.2129
2000-03-02,-6.8093
2000-03-03,1.2526
2000-03-06,-1.2371
2000-03-07,-1.4614
2000-03-08,0.1695
2000-03-09,2.1368
2000-03-10,4.1841
2000-03-13,14.257
2000-03-14,-4.3937
2000-03-15,2.2059
2000-03-16,4.3165
2000-03-17,1.3793
2000-03-20,-0.8503
2000-03-21,-0.1715
2000-03-22,2.0619
2000-03-23,3.5354
2000-03-24,4.065
2000-03-27,-2.6563
2000-03-28,-6.0995
2000-03-29,0.0
2000-03-30,-1.8803
2000-03-31,5.9233
2000-04-03,-3.7829
2000-04-04,-2.3932
2000-04-05,3.1524
2000-04-06,2.0374
2000-04-07,-2.6622
2000-04-10,-1.1966
2000-04-11,-0.692
2000-04-12,-0.1742
2000-04-13,1.7452
2000-04-14,-2.916
2000-04-17,-1.5901
2000-04-18,1.6158000000000001
2000-04-19,0.1767
2000-04-20,5.8201
2000-04-24,1.0
2000-04-25,-0.495
2000-04-26,-2.9851
2000-04-27,-1.3675
2000-04-28,-0.8666
2000-05-01,1.2238
2000-05-02,-2.9361
2000-05-03,-3.5587
2000-05-04,2.3985
2000-05-05,-0.3604
2000-05-08,2.8933
2000-05-09,-1.9332
2000-05-10,-3.0466
2000-05-11,2.2181
2000-05-12,-0.1808
2000-05-15,1.087
2000-05-16,2.3297
2000-05-17,-3.1524
2000-05-18,0.3617
2000-05-19,-2.1622
2000-05-22,-0.1842
2000-05-23,-0.1845
