ticker,CNST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-19,-23.3333
2018-07-20,3.3913
2018-07-23,-3.3642
2018-07-24,-0.3481
2018-07-25,1.4847000000000001
2018-07-26,-1.8933
2018-07-27,-0.0877
2018-07-30,-0.878
2018-07-31,-2.0372
2018-08-01,-2.3508
2018-08-02,-3.0556
2018-08-03,-0.4776
2018-08-06,1.6315
2018-08-07,-2.7384
2018-08-08,-1.068
2018-08-09,-3.1403
2018-08-10,-0.2026
2018-08-13,0.5076
2018-08-14,11.1111
2018-08-15,-3.3636
2018-08-16,-0.1881
2018-08-17,-1.508
2018-08-20,-4.4019
2018-08-21,2.5025
2018-08-22,-0.1953
2018-08-23,-0.2935
2018-08-24,-2.8459
2018-08-27,0.5051
2018-08-28,-0.402
2018-08-29,-2.4268
2018-08-30,6.0034
2018-08-31,1.561
2018-09-04,-13.0644
2018-09-05,0.5525
2018-09-06,-4.2857
2018-09-07,-7.5775
2018-09-10,-1.9876
2018-09-11,-3.1686
2018-09-12,-2.4869
2018-09-13,1.3423
2018-09-14,-4.0397
2018-09-17,5.5901
2018-09-18,-15.0327
2018-09-19,7.6923
2018-09-20,11.857099999999999
2018-09-21,4.9808
2018-09-24,-2.7981
2018-09-25,-2.2528
2018-09-26,-0.6402
2018-09-27,-12.3711
2018-09-28,-1.0294
2018-10-01,-0.1486
2018-10-02,1.0417
2018-10-03,1.4727999999999999
2018-10-04,-2.7576
2018-10-05,2.9851
2018-10-08,-1.4493
2018-10-09,0.0
2018-10-10,-3.3824
2018-10-11,3.9574
2018-10-12,1.3176999999999999
2018-10-15,-0.7225
2018-10-16,0.1456
2018-10-17,-1.8895
2018-10-18,5.4815
2018-10-19,-0.7022
2018-10-22,-2.9703
2018-10-23,-4.0816
2018-10-24,-8.6626
2018-10-25,0.9983
2018-10-26,4.7776
2018-10-29,1.7296
2018-10-30,-8.6553
2018-10-31,4.5685
2018-11-01,-4.3689
2018-11-02,5.4146
2018-11-05,-1.2841
2018-11-06,-2.9268
2018-11-07,0.5025
2018-11-08,1.5
2018-11-09,-3.7767
2018-11-12,-3.413
2018-11-13,1.4134
2018-11-14,0.3484
2018-11-15,-0.1736
2018-11-16,-0.2609
2018-11-19,0.959
2018-11-20,-0.1727
2018-11-21,1.2111
2018-11-23,2.3932
2018-11-26,-3.8397
2018-11-27,-2.4306
2018-11-28,2.1352
2018-11-29,2.2648
2018-11-30,0.5111
2018-12-03,1.8643999999999998
2018-12-04,-1.3311
