ticker,SENY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-29,264.0
2010-06-30,1.7856999999999998
2010-07-01,3.5088
2010-07-12,-5.0847
2010-07-13,32.1429
2010-07-15,13.5135
2010-07-16,16.6667
2010-07-23,106.1224
2010-07-26,3.9604
2010-07-29,9.5238
2010-08-04,0.0
2010-08-16,13.0435
2010-08-18,7.6923
2010-08-20,-17.8571
2010-08-24,0.0
2010-08-31,8.6957
2010-09-01,8.0
2010-09-08,11.1111
2010-09-28,0.0
2010-09-30,4.6667
2010-10-01,-1.2739
2010-10-06,0.0
2010-10-18,-16.129
2010-11-01,-19.2308
2010-11-02,14.2857
2010-11-08,4.1667
2010-11-16,4.0
2010-11-17,-7.6923
2010-11-18,0.0
2010-11-24,8.3333
2010-11-29,-8.461500000000001
2010-11-30,-5.042
2010-12-03,10.6195
2010-12-07,-9.6
2010-12-13,0.0
2010-12-22,0.0
2010-12-29,0.0
2011-01-11,-2.6549
2011-01-21,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-28,0.0
2011-02-02,-0.9091
2011-02-03,-1.8349
2011-02-04,3.7382999999999997
2011-02-07,1.8018
2011-02-08,-5.3097
2011-02-09,4.6729
2011-02-10,-4.4643
2011-02-11,3.7382999999999997
2011-02-14,-1.8018
2011-02-15,2.7523
2011-02-16,4.4643
2011-02-17,3.4188
2011-02-18,1.6529
2011-02-22,-1.626
2011-02-23,-1.6529
2011-02-24,-14.2857
2011-02-25,5.8824
2011-02-28,-19.4444
2011-03-01,18.3908
2011-03-02,2.9126
2011-03-03,0.0
2011-03-04,0.9434
2011-03-07,5.6075
2011-03-08,-4.4248
2011-03-09,-7.4074
2011-03-10,0.0
2011-03-11,4.0
2011-03-14,6.7308
2011-03-15,-3.6036
2011-03-16,-2.8037
2011-03-17,-2.8846
2011-03-18,-3.9604
2011-03-21,-0.5155
2011-03-22,-9.8446
2011-03-23,-4.5977
2011-03-24,-3.6145
2011-03-25,1.875
2011-03-28,0.4908
2011-03-29,-1.0989
2011-03-30,-1.2346
2011-03-31,0.625
2011-04-01,-0.6211
2011-04-04,-1.25
2011-04-05,-2.5316
2011-04-06,2.5974
2011-04-07,-3.6709
2011-04-08,1.8397000000000001
2011-04-11,0.6452
2011-04-12,-3.8462
2011-04-13,3.3333
2011-04-14,-13.5484
2011-04-15,-19.403
2011-04-18,0.9259
2011-04-19,7.3394
2011-04-20,2.5641
2011-04-21,-0.1667
2011-04-25,2.6711
2011-04-26,-1.626
