ticker,CCRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-25,19.8235
2001-10-26,3.5837
2001-10-29,-4.0284
2001-10-30,-1.2346
2001-10-31,1.95
2001-11-01,2.1579
2001-11-02,8.9294
2001-11-05,-4.5835
2001-11-06,-0.4619
2001-11-07,4.7796
2001-11-08,7.0859
2001-11-09,-4.0529
2001-11-12,-2.1983
2001-11-13,2.468
2001-11-14,2.7957
2001-11-15,4.1841
2001-11-16,-3.1727
2001-11-19,0.5807
2001-11-20,2.268
2001-11-21,0.0
2001-11-23,0.8065
2001-11-26,-0.4
2001-11-27,5.2209
2001-11-28,6.1068999999999996
2001-11-29,-4.8201
2001-11-30,-2.6833
2001-12-03,-1.8641
2001-12-04,5.5402000000000005
2001-12-05,4.9869
2001-12-06,-2.1429
2001-12-07,-1.4599
2001-12-10,-2.4074
2001-12-11,0.3795
2001-12-12,2.0794
2001-12-13,2.037
2001-12-14,-1.6334
2001-12-17,0.5535
2001-12-18,-1.8349
2001-12-19,0.7477
2001-12-20,-0.7421
2001-12-21,2.3925
2001-12-24,0.4016
2001-12-26,0.0
2001-12-27,-2.3636
2001-12-28,-2.2346
2001-12-31,0.9524
2002-01-02,0.7547
2002-01-03,1.3109
2002-01-04,0.0
2002-01-07,-0.3697
2002-01-08,-0.9276
2002-01-09,-4.8689
2002-01-10,0.9843
2002-01-11,-0.1949
2002-01-14,0.8594
2002-01-15,-0.2711
2002-01-16,-1.165
2002-01-17,-1.8075
2002-01-18,-4.0816
2002-01-22,-6.967
2002-01-23,0.6726
2002-01-24,-5.8797
2002-01-25,6.7203
2002-01-28,-0.4435
2002-01-29,1.1581
2002-01-30,4.7996
2002-01-31,5.2941
2002-02-01,-0.0798
2002-02-04,1.6374
2002-02-05,-1.3752
2002-02-06,-0.9163
2002-02-07,-1.4877
2002-02-08,1.8367
2002-02-11,5.2104
2002-02-12,2.8571
2002-02-13,0.8889
2002-02-14,4.4053
2002-02-15,-0.8087
2002-02-19,6.5225
2002-02-20,2.396
2002-02-21,0.39
2002-02-22,0.259
2002-02-25,-1.227
2002-02-26,-6.9958
2002-02-27,-5.0615
2002-02-28,-0.4073
2002-03-01,-0.9665
2002-03-04,-2.4024
2002-03-05,-2.3077
2002-03-06,-1.063
2002-03-07,1.1978
2002-03-08,4.5968
2002-03-11,5.1128
2002-03-12,1.9313
2002-03-13,-2.7368
2002-03-14,-2.8139
2002-03-15,-1.0765
2002-03-18,-2.0638
2002-03-19,1.4559
