ticker,GULTU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-05,3.7736
2013-06-06,-4.5455
2013-06-07,-4.7619
2013-06-10,-3.5
2013-06-11,-0.5181
2013-06-12,9.375
2013-06-13,11.4286
2013-06-14,2.5641
2013-06-17,-8.3333
2013-06-18,-4.5455
2013-06-19,0.4762
2013-06-20,-0.4739
2013-06-21,-6.6667
2013-06-24,1.5306
2013-06-25,0.5025
2013-06-26,2.5
2013-06-27,-2.439
2013-06-28,2.0
2013-07-01,-1.9607999999999999
2013-07-02,0.0
2013-07-03,0.0
2013-07-05,2.5
2013-07-08,0.0
2013-07-09,-0.4878
2013-07-10,0.0
2013-07-11,-0.9804
2013-07-12,1.4851
2013-07-15,0.0
2013-07-16,-0.9756
2013-07-17,2.9557
2013-07-18,-0.4785
2013-07-19,0.9615
2013-07-22,-0.9524
2013-07-23,0.9615
2013-07-24,-0.4762
2013-07-25,0.0
2013-07-26,-1.4354
2013-07-29,0.4854
2013-07-30,0.0
2013-07-31,1.4493
2013-08-01,1.9048
2013-08-02,-0.9346
2013-08-05,-0.9434
2013-08-06,2.3810000000000002
2013-08-07,-1.8605
2013-08-08,1.8957000000000002
2013-08-09,2.3256
2013-08-12,1.8182
2013-08-13,-2.6786
2013-08-14,0.0
2013-08-15,-1.3761
2013-08-16,-0.9302
2013-08-19,0.0
2013-08-20,1.8779
2013-08-21,-0.4608
2013-08-22,-0.463
2013-08-23,0.0
2013-08-26,-1.3953
2013-08-27,0.0
2013-08-28,0.9434
2013-08-29,-0.9346
2013-08-30,0.0
2013-09-03,-3.3019
2013-09-04,0.9756
2013-09-05,0.9662
2013-09-06,-1.9139
2013-09-09,2.439
2013-09-10,-2.3810000000000002
2013-09-11,1.4634
2013-09-12,0.4808
2013-09-13,-1.4354
2013-09-16,-0.4854
2013-09-17,0.4878
2013-09-18,0.9709
2013-09-19,-1.9231
2013-09-20,4.902
2013-09-23,-1.4019
2013-09-24,-1.8957000000000002
2013-09-25,-0.4831
2013-09-26,0.4854
2013-09-27,6.2802
2013-09-30,-0.9091
2013-10-01,5.5046
2013-10-02,0.0
2013-10-03,1.7391
2013-10-04,0.0
2013-10-07,0.0
2013-10-08,-1.7094
2013-10-09,-3.4783
2013-10-10,1.8018
2013-10-11,-0.4425
2013-10-14,1.3333
2013-10-15,-2.193
2013-10-16,-0.4484
2013-10-17,1.3514
2013-10-18,1.3333
2013-10-21,0.8772
2013-10-22,1.3043
2013-10-23,-2.1459
2013-10-24,0.8772
