ticker,TANH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-24,100.0
2015-03-25,-12.875
2015-03-26,-4.4475999999999996
2015-03-27,1.952
2015-03-30,14.8748
2015-03-31,2.5641
2015-04-01,1.375
2015-04-02,4.8088999999999995
2015-04-06,13.4118
2015-04-07,3.3195
2015-04-08,-2.51
2015-04-09,12.7703
2015-04-10,27.3059
2015-04-13,7.604
2015-04-14,-11.6667
2015-04-15,13.5849
2015-04-16,-3.6545
2015-04-17,-6.4966
2015-04-20,-8.5411
2015-04-21,-7.9032
2015-04-22,3.5026
2015-04-23,-0.5922
2015-04-24,4.5957
2015-04-27,5.6957
2015-04-28,0.077
2015-04-29,7.6144
2015-04-30,0.7872
2015-05-01,-5.1773
2015-05-04,0.7479
2015-05-05,-8.686
2015-05-06,-0.813
2015-05-07,3.6066000000000003
2015-05-08,-1.8195999999999999
2015-05-11,-3.1426
2015-05-12,-7.6539
2015-05-13,-8.8288
2015-05-14,4.7431
2015-05-15,1.3208
2015-05-18,13.4078
2015-05-19,18.555
2015-05-20,-0.9695
2015-05-21,-6.2238
2015-05-22,0.0746
2015-05-26,-0.2981
2015-05-27,7.3244
2015-05-28,5.9889
2015-05-29,-6.7674
2015-06-01,3.9464
2015-06-02,22.3051
2015-06-03,4.0466
2015-06-04,-3.1433
2015-06-05,16.8317
2015-06-08,-3.3898
2015-06-09,0.4386
2015-06-10,-3.8331
2015-06-11,-7.0131
2015-06-12,9.2784
2015-06-15,6.6533999999999995
2015-06-16,-2.7467
2015-06-17,-3.2551
2015-06-18,4.7996
2015-06-19,-0.1416
2015-06-22,0.9456
2015-06-23,-9.6956
2015-06-24,5.2386
2015-06-25,-6.3578
2015-06-26,-5.1579
2015-06-29,4.3285
2015-06-30,0.266
2015-07-01,2.1751
2015-07-02,-1.7134
2015-07-06,2.6941
2015-07-07,-2.6235
2015-07-08,-1.6904
2015-07-09,1.8807
2015-07-10,1.1076
2015-07-13,0.5216
2015-07-14,2.0758
2015-07-15,-3.2028
2015-07-16,-2.2059
2015-07-17,1.0204
2015-07-20,-0.5848
2015-07-21,-0.6417
2015-07-22,0.2691
2015-07-23,18.4112
2015-07-24,-5.7117
2015-07-27,0.3846
2015-07-28,13.5536
2015-07-29,9.4475
2015-07-30,-7.0906
2015-07-31,2.4471
2015-08-03,-2.834
2015-08-04,4.125
2015-08-05,-6.2425
2015-08-06,5.6765
2015-08-07,0.9693
2015-08-10,-0.52
2015-08-11,-2.5734
2015-08-12,-1.7334
