ticker,BLDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-22,-3.5
2005-06-23,0.0648
2005-06-24,-0.6472
2005-06-27,-0.9772
2005-06-28,5.1974
2005-06-29,0.2502
2005-06-30,1.0605
2005-07-01,0.2469
2005-07-05,-1.17
2005-07-06,-1.4953
2005-07-07,1.2018
2005-07-08,1.25
2005-07-11,0.3086
2005-07-12,0.5538
2005-07-13,-0.1469
2005-07-14,-0.7722
2005-07-15,0.2471
2005-07-18,0.4929
2005-07-19,-0.3066
2005-07-20,2.1518
2005-07-21,-0.4809
2005-07-22,0.4235
2005-07-25,0.0602
2005-07-26,7.7664
2005-07-27,5.3073
2005-07-28,7.0557
2005-07-29,-0.892
2005-08-01,-0.8
2005-08-02,-0.3528
2005-08-03,-1.0116
2005-08-04,1.2775
2005-08-05,-1.0091
2005-08-08,-5.5046
2005-08-09,2.4272
2005-08-10,0.4739
2005-08-11,-0.9434
2005-08-12,-2.2751
2005-08-15,3.8441
2005-08-16,0.0938
2005-08-17,-1.5002
2005-08-18,2.9085
2005-08-19,-0.0514
2005-08-22,-0.4627
2005-08-23,-0.4649
2005-08-24,0.3114
2005-08-25,-2.4314999999999998
2005-08-26,-3.2874
2005-08-29,3.5088
2005-08-30,-0.4767
2005-08-31,8.0362
2005-09-01,6.2069
2005-09-02,2.0408
2005-09-06,1.5909
2005-09-07,-3.4899
2005-09-08,-2.4571
2005-09-09,1.1407
2005-09-12,-2.7256
2005-09-13,-0.8213
2005-09-14,1.8022
2005-09-15,3.7321
2005-09-16,0.6919
2005-09-19,1.4659
2005-09-20,-1.4898
2005-09-21,-1.6499000000000001
2005-09-22,4.8462
2005-09-23,-0.4889
2005-09-26,2.6351
2005-09-27,-2.2628
2005-09-28,1.5138
2005-09-29,-0.9649
2005-09-30,-1.1072
2005-10-03,3.1796
2005-10-04,1.3455
2005-10-05,-5.1392
2005-10-06,-4.3792
2005-10-07,2.0774
2005-10-10,-2.1739
2005-10-11,-3.1206
2005-10-12,-6.6862
2005-10-13,-0.2615
2005-10-14,1.7829000000000002
2005-10-17,3.5549
2005-10-18,-1.8408
2005-10-19,3.2438
2005-10-20,-4.1237
2005-10-21,6.0932
2005-10-24,0.3861
2005-10-25,3.3654
2005-10-26,-0.093
2005-10-27,-8.892
2005-10-28,-0.3577
2005-10-31,0.2564
2005-11-01,0.0512
2005-11-02,1.6360000000000001
2005-11-03,-0.7042
2005-11-04,-2.2796
2005-11-07,-1.9699
2005-11-08,-5.5526
