ticker,CARR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-20,6.25
2020-03-23,-9.4902
2020-03-24,1.3865
2020-03-25,14.9573
2020-03-26,14.8699
2020-03-27,-5.8252
2020-03-30,9.2784
2020-03-31,8.4906
2020-04-01,-12.7536
2020-04-02,-11.7608
2020-04-03,27.4096
2020-04-06,-8.747
2020-04-07,-1.2306
2020-04-08,-6.4918
2020-04-09,3.6466
2020-04-13,-5.3451
2020-04-14,-0.8578
2020-04-15,-3.677
2020-04-16,-3.518
2020-04-17,6.5943000000000005
2020-04-20,5.1674
2020-04-21,1.6609
2020-04-22,0.6807
2020-04-23,6.288
2020-04-24,3.3715
2020-04-27,3.3846
2020-04-28,1.1905000000000001
2020-04-29,3.7647
2020-04-30,0.3968
2020-05-01,-5.3077
2020-05-04,-2.2063
2020-05-05,-2.622
2020-05-06,2.0038
2020-05-07,0.7366
2020-05-08,11.883
2020-05-11,-0.0545
2020-05-12,-2.9973
2020-05-13,-7.6404
2020-05-14,0.6691
2020-05-15,0.9668
2020-05-18,5.0269
2020-05-19,1.2536
2020-05-20,5.4024
2020-05-21,3.8441
2020-05-22,-2.0566
2020-05-26,2.4147
2020-05-27,2.4603
2020-05-28,-1.951
2020-05-29,4.4388
2020-06-01,6.595
2020-06-02,-2.1082
2020-06-03,4.0262
2020-06-04,2.0702
2020-06-05,3.8801
2020-06-08,3.438
2020-06-09,-4.76
2020-06-10,-4.3516
2020-06-11,-5.1350999999999996
2020-06-12,2.2792
2020-06-15,1.9963
2020-06-16,0.4552
2020-06-17,-3.6701
2020-06-18,-0.047
2020-06-19,0.9412
2020-06-22,6.014
2020-06-23,-1.5391
2020-06-24,-2.5458
2020-06-25,-1.0082
2020-06-26,-2.5558
2020-06-29,5.484
2020-06-30,0.4521
2020-07-01,1.7551999999999999
2020-07-02,1.3268
2020-07-06,5.6744
2020-07-07,-0.8261
2020-07-08,-0.0833
2020-07-09,-0.3335
2020-07-10,4.0987
2020-07-13,-2.4508
2020-07-14,3.5832
2020-07-15,5.169
2020-07-16,0.6049
2020-07-17,-0.4885
2020-07-20,-0.2644
2020-07-21,0.6058
2020-07-22,0.1129
2020-07-23,2.8195
2020-07-24,-2.8154
2020-07-27,-1.2415
2020-07-28,-0.6857
2020-07-29,4.2578
2020-07-30,-1.0302
2020-07-31,1.2639
