ticker,PYBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-10,0.0
2007-12-11,20.0
2007-12-20,116.6667
2008-03-07,3.8462
2008-03-18,-7.4074
2008-04-30,4.0
2008-05-21,-11.538499999999999
2008-05-22,-6.9565
2008-05-23,-1.3084
2008-05-27,0.3788
2008-05-28,17.9245
2008-05-29,9.6
2008-05-30,-3.6496
2008-06-02,25.7576
2008-06-03,4.2169
2008-06-04,-10.9827
2008-06-05,-1.9481000000000002
2008-06-06,-0.6623
2008-06-09,-6.6667
2008-06-10,4.2857
2008-06-11,-13.6986
2008-06-12,-19.8413
2008-06-13,-0.9901
2008-06-16,0.0
2008-06-17,18.0
2008-06-18,0.0
2008-06-19,-6.7797
2008-06-20,-2.7273
2008-06-23,-1.8692
2008-06-24,-3.7143
2008-06-25,-2.0772
2008-06-26,-23.2323
2008-06-27,14.473700000000001
2008-06-30,-19.5402
2008-07-01,0.0
2008-07-02,0.0
2008-07-03,7.1429
2008-07-07,0.0
2008-07-08,-6.6667
2008-07-09,-7.1429
2008-07-10,7.6923
2008-07-11,2.8571
2008-07-14,4.1667
2008-07-15,-6.6667
2008-07-16,0.0
2008-07-17,-20.0
2008-07-18,7.1429
2008-07-21,0.0
2008-07-22,0.0
2008-07-23,1.6667
2008-07-24,6.5574
2008-07-25,0.0
2008-07-28,0.0
2008-07-29,-15.3846
2008-07-30,1.8182
2008-07-31,-14.2857
2008-08-01,10.4167
2008-08-04,-3.7736
2008-08-05,-3.9215999999999998
2008-08-06,-16.3265
2008-08-07,-14.6341
2008-08-08,-28.2857
2008-08-11,19.5219
2008-08-12,-13.3333
2008-08-13,-15.3846
2008-08-14,-22.7273
2008-08-15,5.8824
2008-08-18,-5.5556
2008-08-19,0.0
2008-08-20,-17.647100000000002
2008-08-21,42.8571
2008-08-22,0.0
2008-08-25,-25.0
2008-08-26,23.3333
2008-08-27,-40.5405
2008-08-28,27.2727
2008-08-29,-28.5714
2008-09-02,10.0
2008-09-03,-18.1818
2008-09-04,-11.1111
2008-09-05,-12.5
2008-09-08,42.8571
2008-09-09,0.0
2008-09-10,20.0
2008-09-11,25.0
2008-09-12,0.0
2008-09-15,-20.0
2008-09-16,-16.6667
2008-09-18,0.0
2008-09-19,0.0
2008-09-22,50.0
2008-09-23,-40.0
2008-09-24,44.4444
2008-09-25,-23.0769
2008-09-26,0.0
2008-09-30,-20.0
2008-10-01,0.0
2008-10-02,-6.25
2008-10-06,13.3333
2008-10-07,-63.5294
