ticker,QUBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-20,0.0
2007-03-15,25.0
2007-04-26,0.0
2007-05-02,0.0
2007-12-04,-98.8
2007-12-14,-66.6667
2008-05-06,3900.0
2008-05-14,-74.75
2008-05-19,3.9604
2008-05-21,4.7619
2008-05-22,0.0
2008-05-23,0.0
2008-05-27,-5.6364
2008-05-28,5.973
2008-05-29,0.0
2008-06-02,-4.5455
2008-06-19,90.4762
2008-06-23,2.5
2008-06-26,-26.8293
2008-06-27,0.0
2008-07-03,0.0
2008-07-07,0.0
2008-07-08,0.0
2008-07-09,-1.3333
2008-07-10,1.3514
2008-07-14,0.0
2008-07-23,2.6667
2008-07-24,0.6494
2008-07-25,3.871
2008-07-28,4.9689
2008-07-29,1.1834
2008-07-30,-6.4327
2008-07-31,6.25
2008-08-01,2.9412000000000003
2008-08-04,-5.7143
2008-08-05,0.0
2008-08-06,0.0
2008-08-07,7.2727
2008-08-08,-1.1299
2008-08-11,0.0
2008-08-12,0.0
2008-08-14,0.0
2008-08-15,0.0
2008-08-20,1.1429
2008-08-21,-3.9548
2008-08-25,-2.9412000000000003
2008-08-27,7.2727
2008-08-28,0.0
2008-08-29,1.6949
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,5.5556
2008-09-05,0.0
2008-09-08,-7.3684
2008-09-09,0.0
2008-09-10,-0.5682
2008-09-11,3.4286
2008-09-12,-2.7624
2008-09-15,2.2727
2008-09-16,11.1111
2008-09-18,0.0
2008-09-19,0.0
2008-09-22,0.0
2008-09-23,0.0
2008-09-24,0.0
2008-09-25,-5.0
2008-09-26,-2.6316
2008-09-29,0.0
2008-09-30,5.4054
2008-10-03,-4.6154
2008-10-06,2.1505
2008-10-07,2.6316
2008-10-08,-10.2564
2008-10-09,0.0
2008-10-13,2.8571
2008-10-14,0.0
2008-10-23,-16.6667
2008-10-24,0.0
2008-10-27,22.0
2008-10-31,0.0
2008-11-03,-4.3716
2008-11-04,0.0
2008-11-10,-14.2857
2008-11-11,13.3333
2008-11-12,0.0
2008-11-21,-17.647100000000002
2008-11-24,21.4286
2008-11-25,0.0
2008-11-26,0.0
2008-12-02,-0.5882
2008-12-03,0.0
2008-12-08,-14.2012
2008-12-10,17.2414
2008-12-11,-11.7647
2008-12-12,13.3333
2008-12-15,0.0
2008-12-16,-3.5294
2008-12-17,-5.4878
2008-12-18,0.0
2008-12-19,8.3871
2008-12-22,-7.7381
2008-12-24,0.0
2008-12-26,-9.6774
2008-12-30,0.0
