ticker,ST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-11,2.7778
2010-03-12,-1.9459
2010-03-15,-1.323
2010-03-16,0.0
2010-03-17,1.3966
2010-03-18,1.2121
2010-03-19,-0.4899
2010-03-22,0.0547
2010-03-23,-0.7108
2010-03-24,-0.8811
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,0.6667
2010-03-30,-0.6623
2010-03-31,-0.2222
2010-04-01,0.5011
2010-04-05,-0.1662
2010-04-06,-0.333
2010-04-07,1.9487999999999999
2010-04-08,1.0377
2010-04-09,2.7027
2010-04-12,0.0
2010-04-13,0.2105
2010-04-14,1.4181
2010-04-15,0.5697
2010-04-16,-0.9269
2010-04-19,-0.8836
2010-04-20,4.0902
2010-04-21,3.2746
2010-04-22,1.4146
2010-04-23,-1.5392000000000001
2010-04-26,-1.7098
2010-04-27,0.5964
2010-04-28,0.5435
2010-04-29,1.2285
2010-04-30,-2.9126
2010-05-03,-0.4
2010-05-04,-1.004
2010-05-05,-0.5578
2010-05-06,-3.1107
2010-05-07,-4.0
2010-05-10,4.9342
2010-05-11,-1.4107
2010-05-12,1.1659
2010-05-13,2.0953
2010-05-14,-1.2314
2010-05-17,-0.3636
2010-05-18,-0.1564
2010-05-19,-0.7833
2010-05-20,-6.3158
2010-05-21,-0.4494
2010-05-24,-2.9345
2010-05-25,-3.5465
2010-05-26,-0.7233
2010-05-27,2.1858
2010-05-28,-1.1884000000000001
2010-06-01,-1.1425
2010-06-02,2.129
2010-06-03,0.2382
2010-06-04,-1.6637
2010-06-07,-0.2417
2010-06-08,-5.8147
2010-06-09,5.4662
2010-06-10,4.939
2010-06-11,1.5107
2010-06-14,-1.0876
2010-06-15,0.1157
2010-06-16,1.2717
2010-06-17,0.1712
2010-06-18,2.906
2010-06-21,1.5504
2010-06-22,-1.3086
2010-06-23,-0.5525
2010-06-24,-2.8333
2010-06-25,-2.5157
2010-06-28,0.5865
2010-06-29,-6.9388
2010-06-30,0.188
2010-07-01,-0.1876
2010-07-02,0.2506
2010-07-06,3.125
2010-07-07,-1.3939
2010-07-08,-1.1678
2010-07-09,0.1244
2010-07-12,-0.2484
2010-07-13,4.3587
2010-07-14,-1.2530000000000001
2010-07-15,1.7523
2010-07-16,-1.5439
2010-07-19,-1.9300000000000002
2010-07-20,2.091
2010-07-21,0.0
2010-07-22,-1.4458
2010-07-23,0.6112
2010-07-26,-0.6683
2010-07-27,-0.3058
2010-07-28,-1.7178
2010-07-29,-0.1248
