ticker,SOLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-05,33.3333
2017-09-11,-5.0
2017-09-12,5.2632
2017-09-14,0.0
2017-09-15,100.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,25.0
2017-09-21,60.0
2017-09-22,-18.75
2017-09-26,7.6923
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,-3.5714
2017-10-03,3.7037
2017-10-04,7.1429
2017-10-05,0.0
2017-10-06,-13.3333
2017-10-10,7.6923
2017-10-11,2.8571
2017-10-12,-6.25
2017-10-13,3.5556
2017-10-16,0.1431
2017-10-17,0.0
2017-10-18,2.8571
2017-10-19,4.1667
2017-10-20,-0.6667
2017-10-24,-2.6846
2017-10-25,-10.4828
2017-10-26,7.0878
2017-10-27,7.1942
2017-10-30,0.0
2017-10-31,-16.7785
2017-11-01,6.4516
2017-11-02,-1.5152
2017-11-03,0.0
2017-11-06,-4.0
2017-11-07,-5.609
2017-11-08,8.6587
2017-11-09,-3.125
2017-11-10,-7.2581
2017-11-13,4.1739
2017-11-14,-4.0067
2017-11-15,4.3478
2017-11-16,-0.1667
2017-11-17,-4.0067
2017-11-20,4.3478
2017-11-21,-0.1667
2017-11-22,-0.6678
2017-11-24,0.0
2017-11-28,-0.8403
2017-11-29,-6.7797
2017-11-30,-3.6364
2017-12-01,0.0
2017-12-05,-5.6604
2017-12-12,4.0
2017-12-13,0.9615
2017-12-14,0.0
2017-12-15,3.8095
2017-12-18,-6.422
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-27,0.9804
2017-12-28,1.5534
2017-12-29,0.3824
2018-01-02,-1.9048
2018-01-03,-6.7961
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,4.1667
2018-01-09,1.0
2018-01-10,-0.9901
2018-01-11,0.0
2018-01-12,-5.2
2018-01-16,5.4852
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,-1.0
2018-01-23,0.0
2018-01-24,1.0101
2018-01-25,-1.0
2018-01-26,0.0
2018-01-29,1.0101
2018-01-30,-1.0
2018-01-31,1.0101
2018-02-01,-3.0
2018-02-02,3.0928
2018-02-05,-8.8
2018-02-07,1.9737
2018-02-09,1.0753
2018-02-13,-1.0638
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,7.5269
2018-02-23,-1.0
2018-02-26,-6.0606
2018-02-27,0.0
2018-03-02,-2.1505
2018-03-05,5.4945
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,-2.0833
