ticker,GPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-23,-2.5641
2017-06-26,0.2105
2017-06-27,-0.5777
2017-06-28,0.1057
2017-06-29,-0.686
2017-06-30,0.5313
2017-07-03,0.0529
2017-07-05,0.898
2017-07-06,-0.8377
2017-07-07,0.0528
2017-07-10,0.2639
2017-07-11,0.0526
2017-07-12,0.3156
2017-07-13,0.3146
2017-07-14,0.3659
2017-07-17,-0.6771
2017-07-18,-0.3671
2017-07-19,0.2632
2017-07-20,0.0
2017-07-21,-0.2625
2017-07-24,0.2105
2017-07-25,-0.4202
2017-07-26,-0.4747
2017-07-27,-0.4769
2017-07-28,0.1065
2017-07-31,0.266
2017-08-01,0.2653
2017-08-02,1.746
2017-08-03,-0.26
2017-08-04,0.6257
2017-08-07,-0.2591
2017-08-08,-0.4156
2017-08-09,-1.0955
2017-08-10,0.9494
2017-08-11,0.7315
2017-08-14,-0.9336
2017-08-15,-0.2094
2017-08-16,0.787
2017-08-17,-0.1562
2017-08-18,-0.5735
2017-08-21,0.1573
2017-08-22,0.0
2017-08-23,-0.2618
2017-08-24,0.4724
2017-08-25,0.2612
2017-08-28,-0.0521
2017-08-29,-0.7821
2017-08-30,0.6306
2017-08-31,-0.0522
2017-09-01,0.2612
2017-09-05,0.2606
2017-09-06,-0.3119
2017-09-07,-0.2607
2017-09-08,-0.4705
2017-09-11,0.5777
2017-09-12,0.4178
2017-09-13,0.052
2017-09-14,-0.7277
2017-09-15,-1.1518
2017-09-18,0.3708
2017-09-19,-1.3193
2017-09-20,0.5348
2017-09-21,1.2234
2017-09-22,-0.0525
2017-09-25,-0.368
2017-09-26,0.1055
2017-09-27,-0.2109
2017-09-28,0.6867
2017-09-29,-0.0534
2017-10-02,1.0678
2017-10-03,0.7396
2017-10-04,0.0
2017-10-05,0.0524
2017-10-06,-0.7338
2017-10-09,-0.2112
2017-10-10,0.2116
2017-10-11,0.1584
2017-10-12,-0.1054
2017-10-13,-0.2639
2017-10-16,0.3175
2017-10-17,0.0527
2017-10-18,-1.476
2017-10-19,-1.5516
2017-10-20,0.0
2017-10-23,-0.5435
2017-10-24,0.4372
2017-10-25,-0.5441
2017-10-26,-0.8206
2017-10-27,2.2614
2017-10-30,0.0
2017-10-31,0.0539
2017-11-01,1.2399
2017-11-02,-5.4313
2017-11-03,0.3941
2017-11-06,0.7291
2017-11-07,-2.1715
2017-11-08,-0.683
2017-11-09,2.0057
2017-11-10,-0.1124
2017-11-13,-1.2373
