ticker,EFLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-18,0.0
2013-07-19,0.0
2013-07-22,-1.0
2013-07-25,1.0101
2013-07-26,1.6667
2013-07-29,0.0
2013-07-30,-0.3279
2013-07-31,0.3289
2013-08-01,0.0
2013-08-02,0.6557
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-09,0.0
2013-08-28,-0.6515
2013-08-29,0.0
2013-08-30,1.6393
2013-09-03,-2.2580999999999998
2013-09-06,0.6601
2013-09-09,0.0
2013-09-10,0.0
2013-09-13,0.0
2013-09-16,-1.6393
2013-09-17,0.0
2013-11-14,-3.3333
2013-11-20,3.4483
2014-05-09,-8.3333
2014-06-24,0.0
2014-09-22,0.0
2014-11-10,-0.3636
2014-12-02,-0.7299
2014-12-26,-54.0441
2015-07-08,0.0
2015-09-03,0.0
2015-10-02,-59.2
2015-10-05,0.0
2015-10-06,-11.7647
2015-10-07,-22.2222
2015-10-08,-28.5714
2015-10-22,-20.0
2015-11-04,-50.0
2015-11-06,-20.0
2015-11-09,-12.5
2015-11-11,-14.2857
2015-11-12,-16.6667
2015-11-18,-20.0
2015-11-20,-25.0
2015-12-04,-30.0
2015-12-08,-4.7619
2015-12-16,-25.0
2015-12-31,-16.6667
2016-03-17,-12.0
2016-03-18,318.75
2016-05-19,-15.6038
2016-06-16,-67.8457
2017-02-21,0.0
2017-06-06,100.0
2017-07-27,0.0
2017-08-09,-4.0
2017-10-05,4.1667
2017-11-03,0.0
2018-02-07,0.0
2018-03-16,0.0
2018-03-29,260.0
2018-04-06,-53.7778
2018-06-05,15.3846
2018-06-12,0.0
2018-06-19,0.0
2018-06-26,0.0
2018-06-28,4.1667
2018-06-29,0.0
2018-07-05,-50.0
2018-08-02,0.0
2018-08-14,0.0
2018-09-06,0.0
2018-09-14,-32.0
2018-10-01,-24.2647
2018-10-30,55.3398
2018-10-31,0.0
2018-12-13,0.0
2019-03-14,-25.0
2019-08-26,-16.6667
2019-10-23,-44.0
2019-12-03,0.0
2020-05-08,112.8571
2020-06-03,772.4832
2020-06-04,3.8462
2020-06-08,0.0
2020-06-10,-74.0741
2020-06-19,-31.2
2020-06-26,315.2824
2020-06-29,-93.9
