ticker,SLCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-01,-5.8824
2012-02-02,0.0
2012-02-03,0.75
2012-02-06,1.4268
2012-02-07,6.055
2012-02-08,-0.8074
2012-02-09,0.2907
2012-02-10,-1.1594
2012-02-13,1.173
2012-02-14,-2.3188
2012-02-15,-1.1276
2012-02-16,0.7803
2012-02-17,-1.4889999999999999
2012-02-21,1.2696
2012-02-22,1.4925
2012-02-23,0.0588
2012-02-24,2.4691
2012-02-27,-0.1721
2012-02-28,-2.0115
2012-02-29,-0.7625
2012-03-01,1.0047
2012-03-02,-0.8777
2012-03-05,-4.1322
2012-03-06,0.0616
2012-03-07,1.2308
2012-03-08,0.6687
2012-03-09,3.0193
2012-03-12,1.6413
2012-03-13,0.7497
2012-03-14,4.751
2012-03-15,5.6284
2012-03-16,3.1557
2012-03-19,-0.652
2012-03-20,6.4614
2012-03-21,1.4699
2012-03-22,-5.9346
2012-03-23,2.4342
2012-03-26,5.1891
2012-03-27,0.8299
2012-03-28,-4.2524
2012-03-29,-1.0506
2012-03-30,1.0618
2012-04-02,0.8118
2012-04-03,0.4737
2012-04-04,-3.7247
2012-04-05,-2.0078
2012-04-09,-1.4493
2012-04-10,-3.1947
2012-04-11,-1.7810000000000001
2012-04-12,0.2133
2012-04-13,-4.2044
2012-04-16,-2.0556
2012-04-17,-0.9075
2012-04-18,-3.3772
2012-04-19,-0.7701
2012-04-20,-1.1343
2012-04-23,-1.6907999999999999
2012-04-24,3.3784
2012-04-25,1.7231
2012-04-26,4.2056000000000004
2012-04-27,1.9619
2012-04-30,-0.3848
2012-05-01,0.0
2012-05-02,2.2075
2012-05-03,-0.216
2012-05-04,-3.7879
2012-05-07,-0.5624
2012-05-08,-11.8778
2012-05-09,-2.7599
2012-05-10,-1.9802
2012-05-11,-5.5892
2012-05-14,-6.4907
2012-05-15,-3.3562
2012-05-16,-5.7616
2012-05-17,0.0
2012-05-18,-1.9263
2012-05-21,-0.3416
2012-05-22,3.2561999999999998
2012-05-23,0.249
2012-05-24,-0.2483
2012-05-25,-0.332
2012-05-29,-0.1665
2012-05-30,-5.0876
2012-05-31,6.942
2012-06-01,-10.0247
2012-06-04,-7.1233
2012-06-05,-0.6883
2012-06-06,9.3069
2012-06-07,4.8007
2012-06-08,-2.3336
2012-06-11,-2.3894
2012-06-12,0.6346
2012-06-13,5.8559
2012-06-14,0.8511
2012-06-15,2.8692
2012-06-18,2.5431
2012-06-19,0.88
2012-06-20,-3.9651
