ticker,XYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-19,26.0
2018-09-20,-7.2682
2018-09-21,-14.4144
2018-09-24,-6.6316
2018-09-25,1.4656
2018-09-26,4.5556
2018-09-27,-3.5069
2018-09-28,-0.8811
2018-10-01,0.5556
2018-10-02,0.1105
2018-10-03,2.7594
2018-10-04,-4.2965
2018-10-05,0.4489
2018-10-08,6.257
2018-10-09,0.5657
2018-10-10,-0.6671
2018-10-11,-0.3158
2018-10-12,-2.4287
2018-10-15,2.8139
2018-10-16,0.4211
2018-10-17,-0.4193
2018-10-18,0.0
2018-10-19,-5.0526
2018-10-22,0.0
2018-10-23,-3.2151
2018-10-24,-1.9473
2018-10-25,-0.5841
2018-10-26,-3.7603
2018-10-29,-4.2735
2018-10-30,-3.9541
2018-10-31,1.992
2018-11-01,6.1198
2018-11-02,-0.3681
2018-11-05,-2.2167
2018-11-06,2.8967
2018-11-07,-7.4051
2018-11-08,1.8837000000000002
2018-11-09,-8.7901
2018-11-12,-4.6942
2018-11-13,-0.0791
2018-11-14,4.5603
2018-11-15,2.1429
2018-11-16,-0.8392
2018-11-19,1.2694
2018-11-20,1.3928
2018-11-21,-1.2363
2018-11-23,1.5299
2018-11-26,1.5068000000000001
2018-11-27,-1.4845
2018-11-28,4.7945
2018-11-29,1.9607999999999999
2018-11-30,-10.2564
2018-12-03,4.1429
2018-12-04,-2.6063
2018-12-06,-1.4085
2018-12-07,-8.5714
2018-12-10,0.1563
2018-12-11,-3.1201
2018-12-12,2.4154999999999998
2018-12-13,3.4591
2018-12-14,0.0
2018-12-17,0.0
2018-12-18,-3.0395
2018-12-19,-5.3292
2018-12-20,-3.6424
2018-12-21,-4.811
2018-12-24,-5.2347
2018-12-26,-8.1905
2018-12-27,-7.0539
2018-12-28,-6.25
2018-12-31,1.6667
2019-01-02,1.171
2019-01-03,-0.9259
2019-01-04,2.8037
2019-01-07,0.6818
2019-01-08,12.6411
2019-01-09,8.8176
2019-01-10,15.1013
2019-01-11,-5.6
2019-01-14,-8.1356
2019-01-15,0.0
2019-01-16,-4.6125
2019-01-17,-0.9671
2019-01-18,2.3438
2019-01-22,-2.0992
2019-01-23,-1.9493
2019-01-24,6.5606
2019-01-25,-3.9179
2019-01-28,3.4951
2019-01-29,0.3752
2019-01-30,0.3738
2019-01-31,5.4004
2019-02-01,2.4735
2019-02-04,-5.1724
2019-02-05,2.3636
2019-02-06,-1.7762
2019-02-07,-3.6166
2019-02-08,-6.1914
