ticker,SIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7544
2000-01-04,-0.8929
2000-01-05,1.8018
2000-01-06,-1.7699
2000-01-07,0.9009
2000-01-10,0.8929
2000-01-11,-0.885
2000-01-13,0.0
2000-01-14,0.8929
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,-0.885
2000-01-21,-8.9286
2000-01-24,-1.9607999999999999
2000-01-25,1.0
2000-01-26,-4.9505
2000-01-27,3.125
2000-01-28,1.0101
2000-01-31,8.0
2000-02-01,0.0
2000-02-02,-5.5556
2000-02-03,0.0
2000-02-04,0.7843
2000-02-08,-0.9804
2000-02-09,0.9901
2000-02-10,-2.9412000000000003
2000-02-11,-1.0101
2000-02-14,1.0204
2000-02-15,3.0303
2000-02-16,7.8431
2000-02-17,0.0
2000-02-18,-0.9091
2000-02-22,0.0
2000-02-23,-4.5872
2000-02-24,3.8462
2000-02-25,-0.9259
2000-02-28,0.0
2000-02-29,-0.9346
2000-03-01,0.9434
2000-03-02,-0.9346
2000-03-03,-1.8868
2000-03-06,0.9615
2000-03-07,-3.8095
2000-03-08,-0.9901
2000-03-10,0.0
2000-03-13,-2.0
2000-03-15,1.0204
2000-03-16,-1.0101
2000-03-17,-2.0408
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,-3.125
2000-03-23,-1.0753
2000-03-24,4.3478
2000-03-27,-3.125
2000-03-28,1.0753
2000-03-29,-3.1915
2000-03-30,1.0989
2000-03-31,2.1739
2000-04-03,2.1277
2000-04-04,-4.1667
2000-04-05,2.1739
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,2.1277
2000-04-12,4.1667
2000-04-13,2.0
2000-04-14,1.9607999999999999
2000-04-17,0.0
2000-04-18,-1.9231
2000-04-19,-1.9607999999999999
2000-04-20,-4.0
2000-04-24,2.0833
2000-04-25,13.2653
2000-04-26,0.9009
2000-04-28,0.0
2000-05-01,-0.8929
2000-05-02,-8.1081
2000-05-03,1.9607999999999999
2000-05-04,3.8462
2000-05-05,1.8519
2000-05-08,0.0
2000-05-09,-6.3636
2000-05-10,-2.9126
2000-05-11,2.0
2000-05-12,0.7843
2000-05-15,-1.9607999999999999
2000-05-16,1.0
2000-05-17,-0.9901
2000-05-18,-1.0
2000-05-19,0.0
2000-05-22,2.0202
2000-05-24,-2.9703
2000-05-25,0.0
2000-05-26,0.0
2000-05-30,1.0204
2000-05-31,-1.0101
2000-06-01,2.0408
2000-06-02,2.0
