ticker,WONEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-06,-2.9746
2013-09-24,7.8635
2013-11-07,-0.1955
2014-01-03,-1.6366
2014-02-26,-5.3288
2014-03-10,-3.0479
2014-03-11,0.6235
2014-03-13,0.6974
2014-03-19,-2.8844
2014-03-20,-0.3168
2014-04-01,6.4621
2014-06-03,11.8424
2014-06-13,0.783
2014-06-18,0.4421
2014-07-08,-2.9624
2014-07-28,1.9155
2014-07-29,0.6251
2014-07-30,-0.1221
2014-08-05,-1.1821
2014-08-08,-3.7897
2014-08-18,6.4685
2014-08-21,5.2634
2014-08-22,0.1897
2014-08-25,-0.3436
2014-08-27,1.0462
2014-08-28,-0.3305
2014-09-05,-0.2041
2014-09-10,-7.1447
2014-09-12,-2.0922
2014-09-15,0.0747
2014-09-18,-2.0273
2014-09-19,2.3821
2014-09-22,-2.6768
2014-09-24,-0.1178
2014-10-02,-7.2311
2014-10-08,-3.7418
2014-10-15,-6.9341
2014-10-17,7.2031
2014-10-27,0.3123
2014-10-30,-6.6432
2014-10-31,-4.3715
2014-11-03,-4.1434
2014-11-05,-3.1968
2014-11-11,-7.0894
2014-11-14,-14.759
2014-11-17,3.7821
2014-11-20,-10.6777
2014-12-11,-20.8214
2014-12-15,-17.348
2014-12-16,-9.1854
2014-12-29,21.6397
2015-01-12,-12.0799
2015-02-02,-10.4021
2015-02-05,-3.749
2015-02-09,-4.0041
2015-02-12,-28.9205
2015-02-13,-30.1077
2015-02-17,0.1682
2015-02-24,7.5693
2015-02-27,11.0889
2015-03-06,-5.3339
2015-04-07,-4.4529
2015-05-28,-13.2169
2015-06-18,-20.2492
2015-06-19,-6.0065
2015-07-14,-36.7848
2015-07-24,0.3324
2015-08-18,-15.6627
2015-11-11,23.5357
2015-11-18,-16.7389
2016-05-12,-25.0
2016-08-09,-78.5648
2016-08-22,-22.2462
2017-04-28,-31.9881
2017-05-11,-6.2722
2018-01-16,19.9203
2018-05-11,6.2292
2018-05-14,0.7819
2018-05-15,0.7758
2018-05-16,2.3865
2018-06-19,0.0
2018-08-09,0.0
2018-10-22,21.2782
2018-11-16,-1.2399
2019-06-03,-99.9937
2019-06-21,0.0
2019-07-12,0.0
2019-07-16,0.0
2019-08-14,0.0
2019-12-04,0.0
2020-01-21,0.0
2020-06-25,9900.0
2020-07-07,-99.0
