ticker,CNHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-01,3.36
2013-10-02,-0.1548
2013-10-03,-2.2481
2013-10-04,0.2379
2013-10-07,-3.1646
2013-10-08,1.4706000000000001
2013-10-09,1.6907999999999999
2013-10-10,-0.0792
2013-10-11,0.8716
2013-10-14,0.3142
2013-10-15,-3.5239000000000003
2013-10-16,-0.3247
2013-10-17,0.0
2013-10-18,-0.8143
2013-10-21,0.821
2013-10-22,3.013
2013-10-23,-1.7391
2013-10-24,1.5286
2013-10-25,-2.2979
2013-10-28,0.7299
2013-10-29,-1.6907999999999999
2013-10-30,-0.4914
2013-10-31,-3.4568
2013-11-01,-4.2626
2013-11-04,1.4248
2013-11-05,-2.2827
2013-11-06,0.4492
2013-11-07,0.4472
2013-11-08,-0.3562
2013-11-11,0.0
2013-11-12,0.2681
2013-11-13,0.9804
2013-11-14,0.2648
2013-11-15,-0.4401
2013-11-18,0.0
2013-11-19,-0.7958
2013-11-20,0.8021
2013-11-21,-0.2653
2013-11-22,0.3546
2013-11-25,0.1767
2013-11-26,-0.4409
2013-11-27,0.2657
2013-11-29,0.0883
2013-12-02,-2.1183
2013-12-03,-3.156
2013-12-04,0.1862
2013-12-05,-2.7881
2013-12-06,0.5736
2013-12-09,0.0951
2013-12-10,0.7597
2013-12-11,-1.131
2013-12-12,-2.4786
2013-12-13,0.9775
2013-12-16,4.1626
2013-12-17,-3.0669
2013-12-18,0.2876
2013-12-19,1.1472
2013-12-20,3.0246
2013-12-23,1.1009
2013-12-24,0.0
2013-12-26,0.5445
2013-12-27,2.0758
2013-12-30,0.2653
2013-12-31,0.0882
2014-01-02,-1.9383
2014-01-03,0.0898
2014-01-06,-1.0772
2014-01-07,-0.2722
2014-01-08,-0.364
2014-01-09,2.6484
2014-01-10,1.4235
2014-01-13,-0.0877
2014-01-14,1.4925
2014-01-15,1.5571000000000002
2014-01-16,0.2555
2014-01-17,0.1699
2014-01-21,0.933
2014-01-22,-2.1849
2014-01-23,-0.8591
2014-01-24,-3.4662
2014-01-27,1.6158000000000001
2014-01-28,1.1484
2014-01-29,-2.4454000000000002
2014-01-30,-4.5658
2014-01-31,-1.1257
2014-02-03,-3.3207
2014-02-04,0.7851
2014-02-05,0.8763
2014-02-06,1.2548
2014-02-07,0.858
2014-02-10,-1.5123
2014-02-11,1.2476
2014-02-12,3.2227
2014-02-13,-1.0101
2014-02-14,3.6178
2014-02-18,-1.0743
2014-02-19,0.905
2014-02-20,-0.4484
