ticker,WKSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,368.75
2000-01-10,0.0
2000-01-12,-33.3333
2000-01-13,150.0
2000-01-14,0.0
2000-01-18,-60.0
2000-01-19,20.0
2000-01-20,0.0
2000-01-24,0.0
2000-01-25,66.6667
2000-01-26,0.0
2000-01-27,50.0
2000-01-28,0.0
2000-02-01,-33.3333
2000-02-02,20.0
2000-02-03,25.0
2000-02-04,-20.0
2000-02-07,0.0
2000-02-10,0.0
2000-02-11,0.0
2000-02-17,0.0
2000-02-18,-37.5
2000-02-22,133.3333
2000-02-24,-57.1429
2000-02-25,-33.3333
2000-02-29,0.0
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,0.0
2000-03-13,0.0
2000-03-17,0.0
2000-03-20,200.0
2000-03-21,-66.6667
2000-03-27,0.0
2000-04-04,0.0
2000-04-12,0.0
2000-04-18,50.0
2000-04-25,-33.3333
2000-04-28,0.0
2000-05-01,37.5
2000-05-09,-12.7273
2000-05-10,-16.6667
2000-05-12,-50.0
2000-05-31,0.0
2000-06-14,60.0
2000-06-20,0.0
2000-06-21,-25.0
2000-06-28,-53.3333
2000-06-30,42.8571
2000-07-07,-40.0
2000-07-13,0.0
2000-07-14,66.6667
2000-07-19,-50.0
2000-07-27,100.0
2000-08-01,-50.0
2000-08-03,140.0
2000-08-10,-8.3333
2000-08-11,0.0
2000-08-14,0.0
2000-08-16,127.2727
2000-08-17,0.0
2000-08-24,20.0
2000-08-25,-80.0
2000-08-28,-16.6667
2000-08-29,480.0
2000-09-01,0.0
2000-09-06,-13.7931
2000-09-07,-80.0
2000-09-11,275.0
2000-09-12,-41.3333
2000-09-14,-45.4545
2000-09-25,233.3333
2000-09-27,-70.0
2000-09-28,0.0
2000-10-05,0.0
2000-10-09,0.0
2000-10-11,-16.6667
2000-10-13,0.0
2000-10-17,10.0
2000-10-19,-9.0909
2000-10-30,0.0
2000-11-09,0.0
2000-11-13,140.0
2000-11-15,-58.3333
2000-11-16,200.0
2000-11-22,0.0
2000-11-27,-53.3333
2000-11-30,0.0
2000-12-04,-14.2857
2000-12-07,0.0
2000-12-08,100.0
2000-12-11,-58.3333
2000-12-12,-20.0
2000-12-14,0.0
2000-12-18,-20.0
2000-12-20,95.3125
2000-12-21,0.0
2000-12-22,-36.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-02,0.0
2001-01-08,25.0
2001-01-12,-37.5
2001-01-23,60.0
2001-02-09,260.0
