ticker,WK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-12,-1.7856999999999998
2014-12-15,1.7455
2014-12-16,-0.6433
2014-12-17,-0.7194
2014-12-18,-1.5217
2014-12-19,-0.0736
2014-12-22,1.5464
2014-12-23,-0.2175
2014-12-24,-0.7994
2014-12-26,-0.5128
2014-12-29,-0.5891
2014-12-30,1.8519
2014-12-31,-2.5455
2015-01-02,1.3433
2015-01-05,2.9455
2015-01-06,0.0
2015-01-07,1.7167
2015-01-08,5.5556
2015-01-09,6.3291
2015-01-12,-4.1353
2015-01-13,-2.8758
2015-01-14,0.2019
2015-01-15,0.7388
2015-01-16,0.6667
2015-01-20,-1.3245
2015-01-21,-1.0067
2015-01-22,0.7458
2015-01-23,-3.5666
2015-01-26,-2.7913
2015-01-27,-1.9383
2015-01-28,-3.5139
2015-01-29,1.4416
2015-01-30,-8.1526
2015-02-02,4.1531
2015-02-03,-1.8765
2015-02-04,4.3028
2015-02-05,2.3682
2015-02-06,-1.4925
2015-02-09,1.1364
2015-02-10,-0.4494
2015-02-11,0.6772
2015-02-12,-1.0463
2015-02-13,-0.1511
2015-02-17,1.9667
2015-02-18,0.4451
2015-02-19,-0.4431
2015-02-20,0.2967
2015-02-23,0.2219
2015-02-24,-0.5166
2015-02-25,-1.1869
2015-02-26,-3.1532
2015-02-27,-0.7752
2015-03-02,7.5781
2015-03-03,-2.4691
2015-03-04,4.3931000000000004
2015-03-05,3.6377
2015-03-06,-1.927
2015-03-09,1.7544
2015-03-10,-1.3793
2015-03-11,1.4685000000000001
2015-03-12,-6.1337
2015-03-13,-4.0382
2015-03-16,4.2081
2015-03-17,-0.8811
2015-03-18,1.1111
2015-03-19,-1.1722
2015-03-20,1.6308
2015-03-23,4.3034
2015-03-24,-1.2587
2015-03-25,2.1955
2015-03-26,0.4851
2015-03-27,0.0
2015-03-30,-3.1724
2015-03-31,2.5641
2015-04-01,-2.2917
2015-04-02,0.924
2015-04-06,3.9436999999999998
2015-04-07,1.626
2015-04-08,0.0
2015-04-09,-4.0
2015-04-10,1.3889
2015-04-13,-1.7808000000000002
2015-04-14,0.6276
2015-04-15,1.7325
2015-04-16,0.7493
2015-04-17,-2.096
2015-04-20,1.3812
2015-04-21,0.7493
2015-04-22,0.879
2015-04-23,-0.8713
2015-04-24,-0.0676
2015-04-27,-0.6766
2015-04-28,0.7493
2015-04-29,-2.5693
2015-04-30,0.4164
2015-05-01,-0.7602
2015-05-04,0.766
2015-05-05,-0.8984
