ticker,ONVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-15,0.0
2012-02-16,-12.1212
2012-02-17,6.8966
2012-02-21,-3.2258
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,-17.3333
2012-02-27,33.0645
2012-02-28,1.8182
2012-02-29,4.1667
2012-03-01,0.0
2012-03-02,2.8571
2012-03-05,-1.6667
2012-03-06,1.1299
2012-03-07,0.5587
2012-03-08,0.0
2012-03-09,5.5556
2012-03-12,7.8947
2012-03-13,8.7805
2012-03-14,5.3812
2012-03-15,8.5106
2012-03-16,3.1373
2012-03-19,-8.7452
2012-03-20,-3.75
2012-03-21,-2.5974
2012-03-22,2.6667
2012-03-23,2.1645
2012-03-26,5.9322
2012-03-27,-1.2
2012-03-28,-0.8097
2012-03-29,2.0408
2012-03-30,-1.2
2012-04-02,10.9312
2012-04-03,-1.4599
2012-04-04,1.1111
2012-04-05,0.7326
2012-04-09,-9.0909
2012-04-10,-3.2
2012-04-11,6.6116
2012-04-12,-3.4884
2012-04-13,-3.6145
2012-04-16,-2.0833
2012-04-17,-10.6383
2012-04-18,7.1429
2012-04-19,-8.8889
2012-04-20,9.2683
2012-04-23,-1.7856999999999998
2012-04-24,2.2727
2012-04-25,-1.7778
2012-04-26,3.6199
2012-04-27,-3.0568
2012-04-30,4.0541
2012-05-01,11.6883
2012-05-02,10.4651
2012-05-03,0.3509
2012-05-04,3.1469
2012-05-07,1.0169
2012-05-08,0.6711
2012-05-09,-6.0
2012-05-10,-1.0638
2012-05-11,7.5269
2012-05-14,-1.6667
2012-05-15,-3.3898
2012-05-16,4.5614
2012-05-17,1.0067
2012-05-18,12.9568
2012-05-21,11.7647
2012-05-22,-6.5789
2012-05-23,-2.8169
2012-05-24,1.4493
2012-05-25,-5.7143
2012-05-29,12.1212
2012-05-30,5.4054
2012-05-31,15.641
2012-06-01,15.7428
2012-06-04,4.4061
2012-06-05,1.8349
2012-06-06,-11.7117
2012-06-07,-3.6734999999999998
2012-06-08,4.8729
2012-06-11,10.7071
2012-06-12,8.9416
2012-06-13,1.1724999999999999
2012-06-14,5.9603
2012-06-15,11.7188
2012-06-18,34.965
2012-06-19,-9.3264
2012-06-20,5.7143
2012-06-21,-0.4324
2012-06-22,1.5201
2012-06-25,0.0
2012-06-26,-2.6738
2012-06-27,-58.5714
2012-06-28,14.0584
2012-06-29,-7.2093
2012-07-02,-19.7995
2012-07-03,12.5
2012-07-05,17.7778
2012-07-06,-2.1226
2012-07-09,-42.1687
