ticker,DEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-24,12.619
2006-10-25,0.7611
2006-10-26,0.7134
2006-10-27,-0.2917
2006-10-30,-0.1672
2006-10-31,-0.1674
2006-11-01,0.2096
2006-11-02,-1.0879
2006-11-03,-1.8613
2006-11-06,-0.7328
2006-11-07,1.1724
2006-11-08,0.3433
2006-11-09,0.941
2006-11-10,2.1186
2006-11-13,0.8714
2006-11-14,0.9461
2006-11-15,-0.4075
2006-11-16,0.1227
2006-11-17,-0.1226
2006-11-20,3.5188
2006-11-21,2.2925
2006-11-22,0.425
2006-11-24,1.4236
2006-11-27,-1.8589
2006-11-28,-2.0101
2006-11-29,2.0513
2006-11-30,1.6622
2006-12-01,-1.0646
2006-12-04,1.8063
2006-12-05,0.4153
2006-12-06,-1.6917
2006-12-07,-0.2294
2006-12-08,-1.9548
2006-12-11,1.6419000000000001
2006-12-12,0.4615
2006-12-13,-0.1914
2006-12-14,0.6904
2006-12-15,0.9524
2006-12-18,0.2642
2006-12-19,-1.0538
2006-12-20,-0.3804
2006-12-21,0.1527
2006-12-22,-2.0206
2006-12-26,-0.1556
2006-12-27,2.4942
2006-12-28,0.3056
2006-12-29,1.2567
2007-01-03,0.3385
2007-01-04,-1.7241
2007-01-05,-1.9832
2007-01-08,-0.9339
2007-01-09,-0.8641
2007-01-10,1.5848
2007-01-11,2.6521
2007-01-12,-0.8359
2007-01-16,1.6858
2007-01-17,2.2607
2007-01-18,1.1421999999999999
2007-01-19,0.7286
2007-01-22,-1.4828000000000001
2007-01-23,-1.3216
2007-01-24,0.2604
2007-01-25,1.6327
2007-01-26,-0.8762
2007-01-29,0.5525
2007-01-30,-0.2564
2007-01-31,0.4774
2007-02-01,1.3523
2007-02-02,3.8586
2007-02-05,-0.3472
2007-02-06,0.3136
2007-02-07,-0.1042
2007-02-08,0.8693
2007-02-09,-1.758
2007-02-12,-2.2807
2007-02-13,0.6463
2007-02-14,-0.9633
2007-02-15,1.7651
2007-02-16,0.2124
2007-02-20,2.3313
2007-02-21,-0.7594
2007-02-22,-1.1478
2007-02-23,-0.8797
2007-02-26,-0.071
2007-02-27,-1.9183
2007-02-28,0.326
2007-03-01,0.0361
2007-03-02,-0.6857
2007-03-05,-3.6701
2007-03-06,1.0185
2007-03-07,-1.3443
2007-03-08,1.514
2007-03-09,2.0507
2007-03-12,0.0
2007-03-13,-1.3518
2007-03-14,-0.3704
2007-03-15,-0.6691
2007-03-16,-0.524
2007-03-19,0.0752
