ticker,ITUP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-09,162.5
2016-06-10,61.9048
2016-06-13,29.2941
2016-06-14,2.3658
2016-06-17,20.0
2016-06-20,25.1852
2016-06-21,15.3846
2016-06-22,23.0769
2016-06-23,6.25
2016-06-24,10.0
2016-06-27,6.9519
2016-06-30,0.0
2016-07-07,-6.1667
2016-07-08,-7.6377
2016-07-27,-7.5
2016-08-01,-12.8898
2016-08-02,24.105
2016-08-25,0.9615
2016-08-26,1.9048
2016-09-12,2.6542
2016-09-16,31.0998
2016-09-20,-16.6667
2016-09-21,3.1667
2016-09-22,2.1002
2016-09-23,-5.0633
2016-09-26,6.6667
2016-09-27,-0.1563
2016-09-28,-3.1299
2016-09-29,-1.8094000000000001
2016-10-06,-2.9286
2016-10-27,-8.4746
2016-10-28,12.037
2016-10-31,3.1074
2016-11-03,-0.0641
2016-11-04,5.5502
2016-11-07,-2.4316
2016-11-08,17.134
2016-11-09,1.4362
2016-11-11,-1.9402
2016-11-14,-9.0909
2016-11-21,-20.5882
2016-11-22,3.7037
2016-11-23,21.0357
2016-11-28,0.0295
2016-12-01,-10.767
2017-01-17,12.0661
2017-01-18,0.59
2017-01-20,-1.0264
2017-03-01,-46.637
2017-03-02,-11.1605
2017-03-03,-6.25
2017-03-06,-16.6667
2017-03-07,-20.0
2017-05-22,0.0
2017-08-09,-10.9
2017-08-10,1.0101
2017-08-11,-43.3333
2017-08-31,-1.9607999999999999
2017-10-18,-7.0
2017-12-21,-67.7419
2018-01-23,-16.6667
2018-02-13,-40.0
2018-02-14,-20.0
2018-02-15,-15.0
2018-03-14,17.647100000000002
2018-05-21,0.0
2019-09-05,275.0
2019-09-06,0.0
2019-09-09,11.1111
2019-09-10,8.0
2019-09-11,1.8519
2019-09-12,-23.2727
2019-09-13,-17.0616
2019-09-18,-8.5714
2019-09-23,9.375
2019-10-03,-29.1429
2019-10-07,-19.3548
2019-10-22,-39.99
2019-10-24,0.0
2019-12-19,0.0
2019-12-23,141.6264
2019-12-24,64.8276
2019-12-26,23.431
2019-12-27,73.8983
2019-12-30,36.4522
2019-12-31,-11.4286
2020-01-02,-3.2258
2020-01-03,50.0
2020-01-06,11.1111
2020-01-08,50.0
2020-01-09,-33.3333
2020-01-10,20.0
2020-01-14,16.6667
2020-01-17,7.1429
2020-01-22,1.3333
2020-01-23,25.0
2020-01-24,26.3158
2020-01-28,-35.4167
2020-01-29,-22.5806
2020-01-31,-8.3333
2020-02-03,18.1818
2020-02-05,-61.5385
2020-02-12,60.0
2020-02-13,31.25
2020-02-18,-23.8095
2020-02-19,31.25
2020-02-20,-4.7619
2020-02-21,2.8
2020-02-25,-10.0195
2020-02-28,-10.8108
2020-03-04,-11.5152
2020-03-06,-0.411
2020-03-10,-14.0303
2020-03-12,-12.0
2020-03-13,9.0909
2020-03-17,-33.3333
2020-03-18,-21.25
2020-03-19,-2.2222
2020-03-20,-2.5974
2020-03-24,0.3333
2020-03-25,16.2791
2020-03-27,-22.8571
2020-04-03,-22.2222
2020-04-08,0.0
2020-04-09,42.8571
2020-04-14,66.6667
2020-06-08,20.0
2020-06-12,-25.0
2020-06-15,174.4444
2020-06-16,-10.9312
2020-06-17,0.0
2020-06-18,-27.2727
2020-06-19,-6.25
2020-06-22,6.6667
2020-06-23,-6.25
2020-06-24,6.6667
2020-06-29,25.0
2020-07-02,1.0
2020-07-06,-9.901
2020-07-08,-3.8462
2020-07-09,-28.5714
2020-07-13,-18.08
2020-07-14,-0.9766
2020-07-20,-0.1972
2020-07-27,-1.1858
2020-07-28,60.0
