ticker,EFBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-24,3.8874
2017-07-25,0.0
2017-07-26,-2.2684
2017-07-27,-0.5175
2017-07-28,-0.1659
2017-07-31,0.3656
2017-08-01,1.3907
2017-08-02,0.5225
2017-08-03,3.9636
2017-08-04,-0.9375
2017-08-07,-1.2618
2017-08-08,-1.4696
2017-08-09,2.7885999999999997
2017-08-10,-0.6309
2017-08-11,0.0
2017-08-14,-1.5873
2017-08-15,1.2903
2017-08-16,1.8471
2017-08-17,0.0625
2017-08-18,0.125
2017-08-21,0.437
2017-08-22,-1.1809
2017-08-23,0.566
2017-08-24,0.3752
2017-08-25,-0.3115
2017-08-28,1.375
2017-08-29,-0.8015
2017-08-30,0.0622
2017-08-31,-1.5528
2017-09-01,1.4353
2017-09-05,-1.104
2017-09-06,2.1384
2017-09-07,1.4778
2017-09-08,0.1214
2017-09-11,4.5455
2017-09-12,0.0
2017-09-13,3.3043
2017-09-14,-5.7239
2017-09-15,-6.4881
2017-09-18,-0.3183
2017-09-19,0.5747
2017-09-20,0.6984
2017-09-21,0.2522
2017-09-22,-2.0755
2017-09-25,0.8992
2017-09-26,-0.0637
2017-09-27,1.0191
2017-09-28,0.1892
2017-09-29,-0.3776
2017-10-02,0.0632
2017-10-03,0.3157
2017-10-04,-0.2517
2017-10-05,-0.0631
2017-10-06,0.0631
2017-10-09,0.3155
2017-10-10,0.0
2017-10-11,-0.1258
2017-10-12,0.7557
2017-10-13,0.0
2017-10-16,3.0625
2017-10-23,1.3942
2017-10-24,0.1202
2017-10-25,-0.7168
2017-10-26,-0.361
2017-10-27,1.5097
2017-10-30,0.0208
2017-10-31,5.8792
2017-11-01,-0.2921
2017-11-02,-0.4761
2017-11-03,0.818
2017-11-06,2.8636
2017-11-07,-1.9651
2017-11-08,-3.6748
2017-11-09,12.7168
2017-11-13,-4.8246
2017-11-15,-3.0131
2017-11-17,2.6278
2017-11-20,0.9582
2017-11-22,-6.2198
2017-11-24,0.0572
2017-11-27,-4.2286
2017-11-28,-4.6539
2017-11-29,2.7991
2017-11-30,-4.0621
2017-12-01,0.2538
2017-12-04,-0.3165
2017-12-06,-0.1905
2017-12-07,4.7074
2017-12-08,-4.4957
2017-12-11,0.2545
2017-12-12,-0.0635
2017-12-13,0.5714
2017-12-14,-0.1263
2017-12-15,0.8217
2017-12-18,-0.7524
2017-12-19,-0.6317
2017-12-20,0.6357
2017-12-21,-1.3266
2017-12-22,0.3841
2017-12-26,1.5306
