ticker,EAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5907
2000-01-04,-1.3298
2000-01-05,4.8518
2000-01-06,1.7995
2000-01-07,-1.2626
2000-01-10,2.5575
2000-01-11,-0.9975
2000-01-12,0.7557
2000-01-13,4.0
2000-01-14,0.7212
2000-01-18,-0.716
2000-01-19,3.125
2000-01-20,1.8648
2000-01-21,-0.4577
2000-01-24,-4.1379
2000-01-25,-1.4388
2000-01-26,0.7299
2000-01-27,0.2415
2000-01-28,-0.241
2000-01-31,-2.4154999999999998
2000-02-01,-0.495
2000-02-02,0.0
2000-02-03,3.7313
2000-02-04,-0.7194
2000-02-07,0.0
2000-02-08,2.1739
2000-02-09,-1.182
2000-02-10,-5.5024
2000-02-11,0.2532
2000-02-14,-1.5152
2000-02-15,-1.0256
2000-02-16,-1.5544
2000-02-17,-1.0526
2000-02-18,-1.5957
2000-02-22,-0.2703
2000-02-23,-0.271
2000-02-24,-5.4348
2000-02-25,-2.8736
2000-02-28,0.8876
2000-02-29,1.4663
2000-03-01,2.3121
2000-03-02,-0.8475
2000-03-03,1.1396
2000-03-06,1.9718
2000-03-07,-2.7624
2000-03-08,-5.3977
2000-03-09,5.1051
2000-03-10,6.8571
2000-03-13,0.5348
2000-03-14,-2.9255
2000-03-15,11.2329
2000-03-16,8.3744
2000-03-17,1.1364
2000-03-20,-3.5955
2000-03-21,3.4965
2000-03-22,-2.027
2000-03-23,0.2299
2000-03-24,-3.6696999999999997
2000-03-27,-0.9524
2000-03-28,-0.4808
2000-03-29,5.7971
2000-03-30,3.1963
2000-03-31,5.0885
2000-04-03,0.2105
2000-04-04,2.521
2000-04-05,-1.4344000000000001
2000-04-06,1.0395
2000-04-07,3.9095
2000-04-10,-1.9802
2000-04-11,0.202
2000-04-12,0.8065
2000-04-13,-2.6
2000-04-14,-3.2854
2000-04-17,-0.2123
2000-04-18,-0.4255
2000-04-19,3.8462
2000-04-20,4.9383
2000-04-24,6.6667
2000-04-25,-1.6543999999999999
2000-04-26,2.243
2000-04-27,-2.5594
2000-04-28,-4.3152
2000-05-01,5.8824
2000-05-02,-2.037
2000-05-03,-0.9452
2000-05-04,-1.145
2000-05-05,3.668
2000-05-08,-1.8622
2000-05-09,0.1898
2000-05-10,0.947
2000-05-11,1.1257
2000-05-12,-0.5566
2000-05-15,2.9851
2000-05-16,1.6303999999999998
2000-05-17,-1.7825
2000-05-18,-1.9964
2000-05-19,-4.2593
2000-05-22,-0.5803
2000-05-23,0.9728
