ticker,PXHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-25,-52.381
2008-03-27,-30.0
2008-04-02,-57.1429
2008-04-28,166.6667
2008-05-01,25.0
2008-05-07,50.0
2008-05-14,100.0
2008-05-16,50.0
2008-05-19,44.4444
2008-05-27,-38.4615
2008-06-04,70.0
2008-06-05,-5.8824
2008-06-09,74.3153
2008-06-10,-44.4444
2008-06-19,-24.0
2008-06-27,84.2105
2008-06-30,25.7143
2008-07-03,-31.8182
2008-07-11,3.3333
2008-07-16,45.1613
2008-07-17,4.4444
2008-07-18,27.6596
2008-07-21,8.3333
2008-07-22,15.3846
2008-07-23,66.6667
2008-07-24,24.0
2008-07-28,-12.9032
2008-07-29,11.1111
2008-07-30,10.0
2008-07-31,-6.0606
2008-08-06,-0.6452
2008-08-07,-5.8442
2008-08-08,-13.7931
2008-08-11,-8.0
2008-08-12,-26.087
2008-08-13,41.1765
2008-08-15,-20.8333
2008-08-21,-5.2632
2008-08-25,-16.6667
2008-08-26,-1.3333
2008-08-27,8.1081
2008-08-28,10.0
2008-08-29,10.2273
2008-09-02,-28.866
2008-09-03,4.3478
2008-09-04,18.0556
2008-09-09,7.0588
2008-09-12,-19.7802
2008-09-17,16.4384
2008-09-19,-11.7647
2008-09-22,9.3333
2008-09-23,2.439
2008-09-24,-11.9048
2008-09-25,4.0541
2008-09-26,-19.4805
2008-09-29,38.7097
2008-09-30,-1.1628
2008-10-01,4.7059
2008-10-03,-4.4944
2008-10-06,-29.4118
2008-10-07,-11.6667
2008-10-08,11.3208
2008-10-09,1.6949
2008-10-10,0.0
2008-10-13,0.0
2008-10-14,0.0
2008-10-15,-25.0
2008-10-16,21.1111
2008-10-17,22.9358
2008-10-20,-8.9552
2008-10-21,-9.8361
2008-10-22,-8.1818
2008-10-23,-0.9901
2008-10-24,-8.0
2008-10-27,2.1739
2008-10-28,-2.1277
2008-10-29,-2.1739
2008-10-30,-2.2222
2008-10-31,2.2727
2008-11-03,-4.4444
2008-11-04,0.0
2008-11-05,0.0
2008-11-06,-3.4884
2008-11-07,-15.6627
2008-11-10,20.0
2008-11-11,-2.3810000000000002
2008-11-12,-4.878
2008-11-13,0.0
2008-11-17,-10.2564
2008-11-18,-8.5714
2008-11-19,3.125
2008-11-20,0.0
2008-11-21,6.0606
2008-11-24,2.8571
2008-11-25,2.7778
2008-11-26,0.0
2008-11-28,0.0
2008-12-01,-2.7027
2008-12-02,-8.3333
2008-12-03,-6.0606
2008-12-04,3.2258
