ticker,SSTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-11,27.4118
2012-10-12,1.5697
2012-10-15,4.3182
2012-10-16,0.3922
2012-10-17,0.1584
2012-10-18,5.5619
2012-10-19,-6.2808
2012-10-22,2.5843
2012-10-23,-3.5013
2012-10-24,0.354
2012-10-25,0.0441
2012-10-26,2.2918
2012-10-31,2.3266
2012-11-01,3.9579
2012-11-02,0.5265
2012-11-05,-2.8606
2012-11-06,-5.9726
2012-11-07,2.9996
2012-11-08,2.7837
2012-11-09,-0.625
2012-11-12,0.3774
2012-11-13,0.1253
2012-11-14,-4.5891
2012-11-15,-4.7223
2012-11-16,7.251
2012-11-19,11.3393
2012-11-20,5.6879
2012-11-21,0.5091
2012-11-23,-0.4703
2012-11-26,-1.9266
2012-11-27,-4.003
2012-11-28,0.1158
2012-11-29,-0.27
2012-11-30,-1.0054
2012-12-03,1.3281
2012-12-04,-2.7756
2012-12-05,-2.2601
2012-12-06,-1.0142
2012-12-07,5.082
2012-12-10,2.1061
2012-12-11,-2.33
2012-12-12,0.4693
2012-12-13,-0.1557
2012-12-14,0.5458
2012-12-17,-3.8387000000000002
2012-12-18,2.8226
2012-12-19,-1.6078000000000001
2012-12-20,-3.3479
2012-12-21,-1.4021
2012-12-24,-1.3801999999999999
2012-12-26,-1.0178
2012-12-27,5.1842
2012-12-28,3.055
2012-12-31,2.7668
2013-01-02,1.3077
2013-01-03,-1.8223
2013-01-04,-0.3867
2013-01-07,1.3975
2013-01-08,-1.1103
2013-01-09,2.9423
2013-01-10,1.2411
2013-01-11,3.7147
2013-01-14,-3.51
2013-01-15,-1.5590000000000002
2013-01-16,-2.451
2013-01-17,2.0487
2013-01-18,-2.8788
2013-01-22,0.039
2013-01-23,-1.8713
2013-01-24,-5.443
2013-01-25,3.6555
2013-01-28,-0.8107
2013-01-29,3.351
2013-01-30,-2.2539
2013-01-31,2.0631
2013-02-01,0.7531
2013-02-04,-0.9048
2013-02-05,-0.1588
2013-02-06,-0.3976
2013-02-07,0.2395
2013-02-08,0.5177
2013-02-11,2.2583
2013-02-12,-5.618
2013-02-13,3.243
2013-02-14,-0.2386
2013-02-15,0.7174
2013-02-19,1.5433
2013-02-20,3.0787
2013-02-21,6.0491
2013-02-22,17.148
2013-02-25,5.9647
2013-02-26,-2.2114
2013-02-27,-7.5771
2013-02-28,3.5907
2013-03-01,-0.2454
2013-03-04,5.0738
2013-03-05,1.7852000000000001
2013-03-06,-0.8051
2013-03-07,0.9855
