ticker,CRVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5319
2000-01-04,4.2781
2000-01-05,-1.5385
2000-01-06,0.7813
2000-01-07,1.8088
2000-01-10,0.0
2000-01-11,-2.5381
2000-01-12,-3.125
2000-01-13,2.4194
2000-01-14,-0.7874
2000-01-18,1.5873
2000-01-19,1.8229
2000-01-20,0.2558
2000-01-21,1.0204
2000-01-24,-1.0101
2000-01-25,-0.5102
2000-01-26,0.5128
2000-01-27,1.0204
2000-01-28,0.2525
2000-01-31,-1.2594
2000-02-01,0.5102
2000-02-02,0.2538
2000-02-03,-0.2532
2000-02-04,0.0
2000-02-07,-0.2538
2000-02-08,1.2723
2000-02-09,1.5074999999999998
2000-02-10,0.0
2000-02-11,1.9802
2000-02-14,0.0
2000-02-15,6.7961
2000-02-16,-5.4545
2000-02-17,-0.4808
2000-02-18,-0.4831
2000-02-22,-2.4272
2000-02-23,1.4925
2000-02-24,-1.4706000000000001
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,-1.99
2000-03-02,-12.9442
2000-03-03,16.035
2000-03-06,-2.5126
2000-03-07,-2.5773
2000-03-08,3.1746
2000-03-09,0.5128
2000-03-10,1.5306
2000-03-13,2.5126
2000-03-14,-1.7157
2000-03-15,-0.7481
2000-03-16,-1.005
2000-03-17,0.0
2000-03-20,3.2995
2000-03-21,1.7199
2000-03-22,-1.4493
2000-03-23,-0.9804
2000-03-24,-0.9901
2000-03-27,2.0
2000-03-28,0.4902
2000-03-29,0.0
2000-03-30,0.0
2000-04-03,2.1951
2000-04-04,-0.716
2000-04-05,1.6827
2000-04-06,1.182
2000-04-07,0.7009
2000-04-10,-0.6961
2000-04-11,-0.9346
2000-04-12,1.4151
2000-04-13,0.4651
2000-04-14,-2.3148
2000-04-17,0.4739
2000-04-18,0.0
2000-04-19,1.8868
2000-04-20,-9.7222
2000-04-24,9.2308
2000-04-25,1.8779
2000-04-26,0.0
2000-04-27,0.0
2000-04-28,0.0
2000-05-01,-5.0691
2000-05-02,-9.2233
2000-05-03,2.6738
2000-05-04,11.4583
2000-05-05,1.4019
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,0.0
2000-05-11,1.8433000000000002
2000-05-12,6.5611
2000-05-15,-5.0955
2000-05-16,1.1186
2000-05-17,-3.0973
2000-05-18,1.8265
2000-05-19,-3.1390000000000002
2000-05-22,0.6944
2000-05-23,1.1494
2000-05-24,0.0
2000-05-25,-0.9091
2000-05-26,0.6881
