ticker,MOCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-12,9.0909
2007-02-13,25.0
2007-02-14,20.0
2007-02-15,5.5556
2007-02-20,0.0
2007-02-27,5.2632
2007-03-01,0.0
2007-03-07,60.0
2007-03-08,-37.5
2007-03-09,-45.0
2007-03-12,36.3636
2007-03-13,0.0
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,0.0
2007-03-20,0.0
2007-03-21,0.0
2007-03-22,-3.3333
2007-03-23,-10.3448
2007-03-26,-4.6154
2007-03-27,8.871
2007-03-28,-0.7407
2007-03-29,0.7463
2007-03-30,0.0
2007-04-02,4.4444
2007-04-03,-4.2553
2007-04-04,5.9259
2007-04-05,-2.0979
2007-04-09,3.5714
2007-04-10,-3.4483
2007-04-11,3.5714
2007-04-12,-4.1379
2007-04-13,0.7194
2007-04-16,-2.8571
2007-04-17,2.9412000000000003
2007-04-18,-3.5714
2007-04-19,-10.3704
2007-04-20,-11.5702
2007-04-23,-1.8692
2007-04-24,-3.8095
2007-04-25,-8.9109
2007-04-26,-16.3043
2007-04-27,7.7922
2007-04-30,1.2048
2007-05-01,7.1429
2007-05-02,11.1111
2007-05-03,0.0
2007-05-04,3.0
2007-05-07,-10.6796
2007-05-08,3.2609
2007-05-10,6.3158
2007-05-11,1.9802
2007-05-14,-1.9417
2007-05-15,6.9307
2007-05-16,-0.9259
2007-05-17,-10.2804
2007-05-18,1.0417
2007-05-21,7.2165
2007-05-22,5.7692
2007-05-23,-2.7273
2007-05-24,-1.8692
2007-05-25,1.9048
2007-05-29,-11.215
2007-05-30,-6.3158
2007-05-31,-8.9888
2007-06-01,4.9383
2007-06-04,2.3529
2007-06-05,1.1494
2007-06-06,4.5455
2007-06-07,-3.2609
2007-06-08,-1.1236
2007-06-11,-1.1364
2007-06-12,-2.2989
2007-06-13,0.0
2007-06-14,-1.3529
2007-06-15,-4.5915
2007-06-18,0.0
2007-06-19,-6.25
2007-06-20,-20.0
2007-06-21,-5.0
2007-06-22,-14.0351
2007-06-25,-18.3673
2007-06-26,9.9688
2007-06-27,9.1219
2007-06-28,0.0
2007-06-29,-2.0833
2007-07-02,0.0
2007-07-03,-2.1277
2007-07-05,-8.6957
2007-07-06,0.0
2007-07-09,11.9048
2007-07-10,-10.6383
2007-07-11,0.0
2007-07-12,-2.3810000000000002
2007-07-13,2.439
2007-07-16,-2.3810000000000002
2007-07-17,0.0
2007-07-18,2.439
2007-07-19,-4.7619
2007-07-20,0.0
2007-07-23,2.5
