ticker,BLGID US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-31,-14.2857
2014-11-03,5.5556
2014-11-06,5.2632
2014-11-07,0.0
2014-12-15,0.0
2014-12-16,-20.0
2014-12-17,-11.25
2014-12-26,-28.169
2015-01-09,-21.5686
2015-05-29,0.0
2015-06-01,50.0
2015-06-02,8.3333
2015-06-03,12.3077
2015-06-04,2.7397
2015-06-05,6.6667
2015-06-08,0.0
2015-06-09,3.75
2015-06-11,2.4096
2015-06-12,0.0
2015-06-16,4.7059
2015-06-17,-1.1236
2015-06-18,0.0
2015-06-19,2.2727
2015-06-22,-11.1111
2015-06-23,12.5
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-30,0.0
2015-07-01,2.2222
2015-07-02,-1.087
2015-07-06,0.0
2015-07-09,0.0
2015-07-27,-3.2967
2015-07-28,0.0
2015-07-29,-14.7727
2015-07-30,21.3333
2015-07-31,0.0
2015-08-05,2.1978
2015-08-13,-2.1505
2015-08-17,0.0
2015-08-18,-12.0879
2015-08-19,13.75
2015-08-21,-17.5824
2015-08-24,20.0
2015-08-25,7.7778
2015-08-26,3.0928
2015-08-27,0.0
2015-08-28,2.0
2015-08-31,0.9804
2015-09-01,0.0
2015-09-02,5.8252
2015-09-03,-6.422
2015-09-04,-1.9607999999999999
2015-09-08,-2.0
2015-09-09,-4.9872
2015-09-10,7.397
2015-09-14,-7.0125
2015-09-15,-12.8915
2015-09-16,-1.2346
2015-09-18,11.25
2015-09-21,-4.4944
2015-09-22,-29.4118
2015-09-23,23.3333
2015-09-24,-18.9189
2015-09-25,-16.6667
2015-09-28,-30.0
2015-09-29,-14.2857
2015-09-30,-3.3333
2015-10-02,3.4483
2015-10-05,-3.3333
2015-10-06,10.3448
2015-10-07,0.0
2015-10-12,25.0
2015-10-19,-32.5
2015-11-06,0.0
2015-11-23,7.4074
2015-11-24,0.0
2015-11-30,0.0
2015-12-01,-15.5172
2015-12-07,0.0
2015-12-10,2.0408
2015-12-11,4.0
2015-12-14,-15.3846
2015-12-15,0.0
2015-12-16,27.2727
2015-12-17,-3.5714
2015-12-21,0.0
2015-12-22,-3.7037
2015-12-28,-3.8462
2015-12-29,4.0
2015-12-30,-3.8462
2016-01-08,-60.0
2016-01-20,160.0
2016-01-21,3.8462
2016-01-22,3.7037
2016-01-25,7.1429
2016-01-26,26.625
2016-01-27,-9.1807
2016-01-28,-13.0435
2016-01-29,-13.0625
2016-02-01,30.3618
2016-02-02,2.9412000000000003
