ticker,YJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-03,28.6364
2019-05-06,-5.5123999999999995
2019-05-07,-4.1885
2019-05-08,3.3568
2019-05-09,-5.3625
2019-05-10,-3.6712
2019-05-13,-12.179
2019-05-14,3.6792
2019-05-15,0.091
2019-05-16,0.1818
2019-05-17,-0.0907
2019-05-20,-0.0908
2019-05-21,-2.9091
2019-05-22,3.2772
2019-05-23,2.5385
2019-05-24,-3.183
2019-05-28,-0.0913
2019-05-29,2.6508000000000003
2019-05-30,-1.7809
2019-05-31,-0.272
2019-06-03,0.0
2019-06-04,2.0
2019-06-05,-10.2496
2019-06-06,-0.6951
2019-06-07,15.0
2019-06-10,-0.8696
2019-06-11,-4.2105
2019-06-12,-0.3663
2019-06-13,-1.4706000000000001
2019-06-14,-0.5597
2019-06-17,2.7205
2019-06-18,-0.5479
2019-06-19,-1.3774
2019-06-20,-1.2104
2019-06-21,-0.8483
2019-06-24,0.7605
2019-06-25,-1.8868
2019-06-26,0.9615
2019-06-27,2.3810000000000002
2019-06-28,5.1163
2019-07-01,-0.885
2019-07-02,-0.0893
2019-07-03,-1.6979
2019-07-05,-1.6364
2019-07-08,0.2773
2019-07-09,-0.7373
2019-07-10,-0.7428
2019-07-11,-2.3386
2019-07-12,-0.0958
2019-07-15,2.7804
2019-07-16,0.0774
2019-07-17,2.4393000000000002
2019-07-18,0.091
2019-07-19,-1.3636
2019-07-22,-0.2765
2019-07-23,-0.1848
2019-07-24,-1.1111
2019-07-25,0.0
2019-07-26,-0.5618
2019-07-29,-0.565
2019-07-30,1.3258
2019-07-31,0.1869
2019-08-01,1.1194
2019-08-02,-2.6753
2019-08-05,-3.7915
2019-08-06,-1.5764
2019-08-07,0.6006
2019-08-08,-0.4975
2019-08-09,-0.6
2019-08-12,0.0
2019-08-13,-2.0121
2019-08-14,-4.9281
2019-08-15,2.3758
2019-08-16,2.3207
2019-08-19,1.0309
2019-08-20,2.0408
2019-08-21,6.0
2019-08-22,-11.4151
2019-08-23,-13.738
2019-08-26,-7.4074
2019-08-27,-19.3333
2019-08-28,6.7769
2019-08-29,3.4056
2019-08-30,-7.9341
2019-09-03,-0.1626
2019-09-04,1.4658
2019-09-05,7.5441
2019-09-06,4.4776
2019-09-09,-0.1429
2019-09-10,-0.7153
2019-09-11,-0.5764
2019-09-12,7.971
2019-09-13,2.4161
2019-09-16,1.0485
2019-09-17,-0.3891
2019-09-18,2.2135
2019-09-19,1.0191
2019-09-20,-3.9092000000000002
