ticker,SUND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-12,33.3333
2005-06-22,50.0
2008-02-25,16.6667
2009-03-10,-14.2857
2009-03-16,-16.6667
2009-03-27,-40.0
2009-03-30,-20.0
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,-33.3333
2009-04-09,-25.0
2009-04-14,150.0
2009-04-21,-33.3333
2009-12-11,150.0
2009-12-18,104.0
2010-06-28,-68.6275
2010-06-29,-6.25
2010-07-28,-33.3333
2010-07-29,30.0
2010-08-31,0.0
2011-09-08,-23.0769
2011-09-09,0.0
2011-12-20,0.0
2011-12-28,200.0
2012-09-17,0.0
2012-11-26,83.3333
2012-12-17,-54.5455
2013-02-19,2.6667
2013-04-08,94.8052
2013-04-09,93.3333
2013-04-10,20.6897
2013-04-11,20.0
2013-04-12,1.1905000000000001
2013-04-15,8.2353
2013-04-16,0.0
2013-04-17,-2.1739
2013-04-18,4.4444
2013-04-19,6.383
2013-04-22,0.0
2013-04-23,-5.0
2013-04-26,5.2632
2013-05-01,8.0
2013-05-02,-2.7778
2013-05-03,6.6667
2013-05-06,-5.3571
2013-05-08,4.717
2013-05-09,0.9009
2013-05-10,7.1429
2013-05-13,0.0
2013-05-15,-4.1667
2013-05-16,2.6087
2013-05-17,0.8475
2013-05-21,-0.8403
2013-05-22,5.0847
2013-05-23,0.8065
2013-05-24,4.0
2013-05-29,1.8462
2013-05-30,-1.8127
2013-05-31,0.0
2013-06-04,0.7692
2013-06-10,1.5267
2013-06-11,0.0
2013-06-13,1.5038
2013-06-14,0.1481
2013-06-17,0.5917
2013-06-18,0.0
2013-06-19,0.4412
2013-06-21,1.0249
2013-06-24,3.1884
2013-06-25,1.8258
2013-06-27,1.6552
2013-06-28,0.0
2013-07-01,1.7639
2013-07-02,0.0
2013-07-03,6.6667
2013-07-08,0.0
2013-07-11,3.125
2013-07-12,-0.6061
2013-07-16,0.2439
2013-07-17,-1.4599
2013-07-18,4.9383
2013-07-19,-2.9412000000000003
2013-07-22,-3.0303
2013-07-24,1.875
2013-07-25,0.0
2013-07-26,-1.8405
2013-07-29,0.625
2013-07-30,0.0
2013-07-31,-0.6211
2013-08-01,0.0
2013-08-02,0.0
2013-08-07,0.0
2013-08-14,6.25
2013-08-15,0.0
2013-08-16,0.0
2013-08-23,0.0
2013-08-27,-11.7647
2013-08-28,6.6667
2013-08-29,0.0
2013-09-05,0.0
2013-09-09,-3.125
2013-10-02,0.0
2013-10-04,-3.2258
2013-10-07,4.0
