ticker,REVG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-27,13.6364
2017-01-30,2.6
2017-01-31,-1.5984
2017-02-01,0.0396
2017-02-02,-0.9901
2017-02-03,3.44
2017-02-06,-0.3094
2017-02-07,0.0
2017-02-08,3.9953
2017-02-09,2.6483
2017-02-10,1.7442
2017-02-13,3.0714
2017-02-14,-1.2128
2017-02-15,0.6314
2017-02-16,-5.1237
2017-02-17,1.3593
2017-02-21,-3.407
2017-02-22,3.152
2017-02-23,-1.7825
2017-02-24,2.7407
2017-02-27,3.1363
2017-02-28,-0.5592
2017-03-01,-0.1757
2017-03-02,-1.7606000000000002
2017-03-03,0.5018
2017-03-06,-0.7133
2017-03-07,-6.5014
2017-03-08,1.7671999999999999
2017-03-09,0.755
2017-03-10,-2.885
2017-03-13,2.4306
2017-03-14,-1.2806
2017-03-15,0.8394
2017-03-16,0.2649
2017-03-17,2.9057
2017-03-20,1.3935
2017-03-21,-1.9529999999999998
2017-03-22,1.8075
2017-03-23,0.6522
2017-03-24,0.216
2017-03-27,-0.3592
2017-03-28,0.2523
2017-03-29,-0.036
2017-03-30,0.3597
2017-03-31,-1.1828
2017-04-03,0.1814
2017-04-04,-0.2896
2017-04-05,-0.9441
2017-04-06,1.5029
2017-04-07,-0.0361
2017-04-10,0.1445
2017-04-11,-0.5411
2017-04-12,-1.6322
2017-04-13,0.885
2017-04-17,0.5848
2017-04-18,1.2355
2017-04-19,2.9074
2017-04-20,-0.3139
2017-04-21,-1.0147
2017-04-24,2.1562
2017-04-25,-1.3149
2017-04-26,-0.3156
2017-04-27,1.6561
2017-04-28,-2.253
2017-05-01,-0.1418
2017-05-02,0.6392
2017-05-03,-0.8469
2017-05-04,0.5694
2017-05-05,0.0354
2017-05-08,1.4503
2017-05-09,-2.4059
2017-05-10,-3.6442
2017-05-11,-1.6314
2017-05-12,-2.6008
2017-05-15,-0.0387
2017-05-16,0.7356
2017-05-17,0.6533
2017-05-18,-1.4509
2017-05-19,0.9299
2017-05-22,2.38
2017-05-23,-0.4124
2017-05-24,0.4142
2017-05-25,3.2621
2017-05-26,3.2317
2017-05-30,-5.3816
2017-05-31,-0.1859
2017-06-01,4.2458
2017-06-02,-0.9646
2017-06-05,-2.9221
2017-06-06,0.3344
2017-06-07,0.8148
2017-06-08,2.3145
2017-06-09,2.6212
2017-06-12,-0.6648
2017-06-13,2.043
2017-06-14,0.2071
2017-06-15,-0.1033
2017-06-16,3.7931
2017-06-19,2.4585
