ticker,MTVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-29,-5.2632
2002-09-16,3.3333
2002-10-01,0.0
2002-10-10,1.0753
2002-11-12,2.1277
2002-12-11,-1.0417
2003-01-09,-4.2105
2003-01-24,3.2967
2003-12-22,2.1277
2004-02-19,-2.0833
2004-03-02,2.1277
2005-03-04,-1.6667
2005-03-07,4.8729
2005-03-10,1.0101
2006-11-21,9.0
2006-11-29,14.6789
2006-12-01,3.2
2007-12-18,0.0
2008-03-19,-8.2569
2008-11-24,37.931
2009-04-15,-36.4353
2009-06-03,60.0
2013-04-01,8.7548
2013-09-06,0.452
2014-06-04,1.7035
2014-07-22,-7.0819
2014-07-23,2.7027
2014-07-30,1.3158
2014-08-21,-3.8961
2014-09-19,-1.3514
2014-11-11,4.1096
2015-01-07,1.9313
2015-02-05,-7.8947
2017-02-27,23.6802
2017-10-03,-0.7839
2019-02-25,7.5687
