ticker,JG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-26,3.5294
2018-07-27,-3.4091
2018-07-30,-5.8824
2018-07-31,-4.375
2018-08-01,-6.1438
2018-08-02,0.9749
2018-08-03,-3.4483
2018-08-06,-2.0
2018-08-07,-0.5831
2018-08-08,-6.7449
2018-08-09,-7.3899
2018-08-10,-6.4516
2018-08-13,5.0817
2018-08-14,1.209
2018-08-15,-7.6792
2018-08-16,5.3604
2018-08-17,4.386
2018-08-20,2.6891
2018-08-21,23.4043
2018-08-22,-6.8966
2018-08-23,15.9544
2018-08-24,4.4226
2018-08-27,10.0
2018-08-28,2.7807
2018-08-29,18.3143
2018-08-30,-0.8795
2018-08-31,-6.8323
2018-09-04,-8.857099999999999
2018-09-05,-10.5538
2018-09-06,10.8645
2018-09-07,-17.4921
2018-09-10,2.4904
2018-09-11,2.0561
2018-09-12,3.0525
2018-09-13,0.5924
2018-09-14,0.1178
2018-09-17,-3.6471
2018-09-18,0.1221
2018-09-19,0.2439
2018-09-20,1.4599
2018-09-21,-1.199
2018-09-24,-8.7379
2018-09-25,-1.9947
2018-09-26,0.2714
2018-09-27,-9.7429
2018-09-28,2.8486000000000002
2018-10-01,-2.9154999999999998
2018-10-02,-0.6006
2018-10-03,5.7402
2018-10-04,-7.8571
2018-10-05,-0.7752
2018-10-08,-1.25
2018-10-09,5.2215
2018-10-10,-5.4135
2018-10-11,-9.38
2018-10-12,6.1404
2018-10-15,2.9752
2018-10-16,2.5682
2018-10-17,1.7214
2018-10-18,1.5385
2018-10-19,2.5758
2018-10-22,-0.2954
2018-10-23,-8.4444
2018-10-24,-2.7508
2018-10-25,2.1631
2018-10-26,2.1173
2018-10-29,-2.7113
2018-10-30,3.6066000000000003
2018-10-31,-1.5823
2018-11-01,8.5209
2018-11-02,3.5556
2018-11-05,-4.1488
2018-11-06,1.0448
2018-11-07,3.3973
2018-11-08,0.0
2018-11-09,-2.1429
2018-11-12,-8.905100000000001
2018-11-13,0.641
2018-11-14,-0.6369
2018-11-15,2.2436
2018-11-16,-0.4702
2018-11-19,-2.0472
2018-11-20,-3.2154
2018-11-21,0.6645
2018-11-23,-0.33
2018-11-26,0.6623
2018-11-27,-0.4934
2018-11-28,0.4959
2018-11-29,-0.9868
2018-11-30,2.1595
2018-12-03,0.813
2018-12-04,-0.1613
2018-12-06,-0.6462
2018-12-07,-1.3008
2018-12-10,1.369
2018-12-11,-1.0255
2018-12-12,10.1806
2018-12-13,4.0238
