ticker,KNL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-14,14.0
2004-12-15,5.2632
2004-12-16,1.6667
2004-12-17,-2.7321999999999997
2004-12-20,-3.3708
2004-12-21,4.6512
2004-12-22,-2.2222
2004-12-23,1.5909
2004-12-27,-3.5235
2004-12-28,3.1884
2004-12-29,-0.5618
2004-12-30,-0.3955
2004-12-31,-0.7374
2005-01-03,0.2857
2005-01-04,-0.8547
2005-01-05,-1.7241
2005-01-06,-0.5848
2005-01-07,-0.2941
2005-01-10,-0.295
2005-01-11,-0.5917
2005-01-12,0.4167
2005-01-13,0.652
2005-01-14,2.0612
2005-01-18,-0.9233
2005-01-19,-0.4077
2005-01-20,0.0
2005-01-21,-0.2924
2005-01-24,-2.346
2005-01-25,0.3003
2005-01-26,-0.5988
2005-01-27,2.2289
2005-01-28,-1.591
2005-01-31,0.1198
2005-02-01,0.1794
2005-02-02,4.4776
2005-02-03,-0.1143
2005-02-04,0.4005
2005-02-07,-0.6268
2005-02-08,0.9174
2005-02-09,0.8523
2005-02-10,-1.1268
2005-02-11,-0.8547
2005-02-14,-2.2989
2005-02-15,0.2941
2005-02-16,-0.9384
2005-02-17,-2.4275
2005-02-18,1.517
2005-02-22,-2.5702
2005-02-23,1.5337
2005-02-24,0.3021
2005-02-25,0.1807
2005-02-28,0.9621
2005-03-01,-3.5140000000000002
2005-03-02,3.0864
2005-03-03,1.1976
2005-03-04,-0.2959
2005-03-07,-0.8902
2005-03-08,-0.2994
2005-03-09,2.1021
2005-03-10,0.8235
2005-03-11,-0.2917
2005-03-14,0.8192
2005-03-15,1.7462
2005-03-16,-3.032
2005-03-17,0.885
2005-03-18,0.8772
2005-03-21,-0.5797
2005-03-22,-1.1078999999999999
2005-03-23,-0.8844
2005-03-24,0.6544
2005-03-28,-0.1773
2005-03-29,-0.4737
2005-03-30,1.7252
2005-03-31,-2.4561
2005-04-01,-0.2398
2005-04-04,0.0601
2005-04-05,-0.5405
2005-04-06,1.4493
2005-04-07,2.0238
2005-04-08,-1.6336
2005-04-11,-0.4745
2005-04-12,2.4434
2005-04-13,-1.2798
2005-04-14,-1.0018
2005-04-15,-0.3571
2005-04-18,-1.7324000000000002
2005-04-19,1.2158
2005-04-20,0.3003
2005-04-21,2.0958
2005-04-22,-2.5220000000000002
2005-04-25,2.7677
2005-04-26,2.2834
2005-04-27,-2.1179
2005-04-28,-4.4444
2005-04-29,-0.5508
2005-05-02,0.4308
2005-05-03,0.3676
2005-05-04,1.5263
