ticker,ABKB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-22,1900.0
2006-12-26,25.0
2007-01-10,-16.0
2007-01-11,0.0
2007-01-12,7.381
2007-01-16,4.2129
2007-01-17,-10.6383
2007-01-19,-4.7619
2007-01-22,-20.0
2007-01-23,-21.875
2007-01-24,12.0
2007-01-25,-3.9286
2007-01-26,-25.6506
2007-01-30,-49.0
2007-01-31,-11.7647
2007-02-02,100.0
2007-02-05,-34.4444
2007-02-06,35.5932
2007-02-07,-28.75
2007-02-08,66.6667
2007-02-09,-5.2632
2007-02-12,-11.1111
2007-02-15,-12.5
2007-02-16,-2.8571
2007-02-20,0.0
2007-02-21,-25.0
2007-02-22,27.451
2007-02-26,-4.6154
2007-02-27,0.0
2007-02-28,4.8387
2007-03-01,0.0
2007-03-02,-7.6923
2007-03-05,0.0
2007-03-07,-25.0
2007-03-08,0.0
2007-03-12,0.0
2007-03-23,-44.4444
2007-03-26,0.0
2007-03-27,0.0
2007-03-28,0.0
2007-03-29,-24.0
2007-03-30,-21.0526
2007-04-02,33.3333
2007-04-03,-35.0
2007-04-04,46.1538
2007-04-05,5.2632
2007-04-09,0.0
2007-04-10,5.0
2007-04-11,-9.5238
2007-04-16,5.2632
2007-04-17,0.0
2007-04-18,-5.0
2007-04-19,5.2632
2007-05-01,0.0
2007-05-02,0.0
2007-05-07,-15.0
2007-05-10,5.8824
2007-05-11,0.0
2007-05-14,-22.2222
2007-05-17,-14.2857
2007-05-18,25.0
2007-05-21,0.0
2007-05-23,-33.3333
2007-05-24,0.0
2007-05-25,-20.0
2007-05-30,0.0
2007-06-01,0.0
2007-06-04,0.0
2007-06-05,-12.5
2007-06-11,57.1429
2007-06-12,9.0909
2007-06-13,-25.0
2007-06-14,-11.1111
2007-06-15,-12.5
2007-06-19,0.0
2007-06-26,0.0
2007-06-27,0.0
2007-06-28,0.0
2007-06-29,-35.7143
2007-07-02,55.5556
2007-07-03,0.0
2007-07-06,0.0
2007-07-09,0.0
2007-07-16,0.0
2007-07-17,0.0
2007-07-23,-14.2857
2007-07-27,0.0
2007-08-02,33.3333
2007-08-03,0.0
2007-08-08,-37.5
2007-08-09,-10.0
2007-08-13,55.5556
2007-08-14,0.0
2007-08-15,0.0
2007-08-16,0.0
2007-08-17,0.0
2007-08-22,-14.2857
2007-08-23,-1.6667
2007-08-27,-15.2542
2007-08-29,0.0
2007-09-04,0.0
2007-09-05,-20.0
2007-09-21,0.0
2007-09-26,0.0
2007-09-27,25.0
