ticker,EIG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-31,17.4706
2007-02-01,-0.3505
2007-02-02,-0.5025
2007-02-05,-0.5051
2007-02-06,1.7766
2007-02-07,3.0424
2007-02-08,-0.8712
2007-02-09,0.8301
2007-02-12,0.4843
2007-02-13,-0.5301
2007-02-14,10.4167
2007-02-15,-3.4664
2007-02-16,4.0909
2007-02-20,1.7467000000000001
2007-02-21,-3.691
2007-02-22,0.2674
2007-02-23,-3.1111
2007-02-26,-2.2936
2007-02-27,-6.0563
2007-02-28,1.9489999999999998
2007-03-01,-0.5392
2007-03-02,-0.9857
2007-03-05,0.7964
2007-03-06,1.037
2007-03-07,-0.5376
2007-03-08,0.1966
2007-03-09,-1.3242
2007-03-12,-0.0497
2007-03-13,-1.8399
2007-03-14,-1.4184
2007-03-15,-0.4111
2007-03-16,-0.5676
2007-03-19,-0.1038
2007-03-20,-0.4156
2007-03-21,4.121
2007-03-22,0.2004
2007-03-23,0.95
2007-03-26,-3.7147
2007-03-27,-1.749
2007-03-28,2.6178
2007-03-29,2.1939
2007-03-30,-0.0499
2007-04-02,-2.8971
2007-04-03,1.8519
2007-04-04,0.7576
2007-04-05,-0.1003
2007-04-09,0.1004
2007-04-10,-0.5514
2007-04-11,1.0585
2007-04-12,0.5985
2007-04-13,0.4462
2007-04-16,2.9615
2007-04-17,-1.7737
2007-04-18,-1.7570000000000001
2007-04-19,0.4968
2007-04-20,-0.692
2007-04-23,-0.896
2007-04-24,-0.1507
2007-04-25,0.2012
2007-04-26,-0.1506
2007-04-27,-0.4525
2007-04-30,0.1515
2007-05-01,0.6556
2007-05-02,-0.2505
2007-05-03,-0.4018
2007-05-04,0.7564
2007-05-07,-0.1502
2007-05-08,-0.8521
2007-05-09,-1.3145
2007-05-10,-1.0246
2007-05-11,2.1222
2007-05-14,-0.0507
2007-05-15,-0.1014
2007-05-16,4.0102
2007-05-17,-1.4641
2007-05-18,1.5354
2007-05-21,1.2195
2007-05-22,1.7831000000000001
2007-05-23,0.4748
2007-05-24,-4.3006
2007-05-25,1.3827
2007-05-29,0.5358
2007-05-30,2.6163
2007-05-31,0.0944
2007-06-01,0.9434
2007-06-04,-0.4673
2007-06-05,-0.7981
2007-06-06,0.0
2007-06-07,-0.284
2007-06-08,1.2814
2007-06-11,0.0937
2007-06-12,-0.7491
2007-06-13,2.783
2007-06-14,1.1014
2007-06-15,0.1816
2007-06-18,-0.4531
2007-06-19,0.5917
2007-06-20,-0.4072
