ticker,EDIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-03,13.75
2016-02-04,1.6484
2016-02-05,-4.8649000000000004
2016-02-08,-9.943200000000001
2016-02-09,-19.1798
2016-02-10,2.1858
2016-02-11,20.4736
2016-02-12,-2.3462
2016-02-16,3.5065
2016-02-17,4.7679
2016-02-18,0.2994
2016-02-19,10.3284
2016-02-22,16.9913
2016-02-23,4.6253
2016-02-24,2.6525
2016-02-25,3.1438
2016-02-26,14.7808
2016-02-29,5.311
2016-03-01,0.0345
2016-03-02,10.1519
2016-03-03,17.5235
2016-03-04,-5.148
2016-03-07,9.9831
2016-03-08,7.3638
2016-03-09,-25.9347
2016-03-10,-14.0193
2016-03-11,16.8661
2016-03-14,-1.536
2016-03-15,5.1024
2016-03-16,-4.0816
2016-03-17,-1.9020000000000001
2016-03-18,-3.5163
2016-03-21,2.0436
2016-03-22,-0.267
2016-03-23,1.9076
2016-03-24,2.8243
2016-03-28,-2.4912
2016-03-29,6.813
2016-03-30,-4.3545
2016-03-31,10.7406
2016-04-01,6.8327
2016-04-04,7.2629
2016-04-05,6.2153
2016-04-06,-0.4995
2016-04-07,-4.7095
2016-04-08,1.4802
2016-04-11,-6.3782
2016-04-12,-2.0069
2016-04-13,2.9103
2016-04-14,4.0325
2016-04-15,0.3524
2016-04-18,1.229
2016-04-19,-1.9078
2016-04-20,2.6522
2016-04-21,-1.0089
2016-04-22,-5.2946
2016-04-25,1.601
2016-04-26,-4.4175
2016-04-27,-1.7027
2016-04-28,-6.1314
2016-04-29,-3.1927
2016-05-02,1.3918
2016-05-03,-7.5201
2016-05-04,-2.5492
2016-05-05,5.9272
2016-05-06,-5.8143
2016-05-09,0.5642
2016-05-10,1.0231
2016-05-11,-0.7187
2016-05-12,-6.0875
2016-05-13,5.431
2016-05-16,12.9944
2016-05-17,-5.2941
2016-05-18,3.5404
2016-05-19,-1.4697
2016-05-20,1.2177
2016-05-23,1.5939999999999999
2016-05-24,5.8319
2016-05-25,0.7552
2016-05-26,-1.749
2016-05-27,-0.4804
2016-05-31,5.3095
2016-06-01,-0.8088
2016-06-02,-5.3004
2016-06-03,-3.2434
2016-06-06,-2.4325
2016-06-07,2.0675
2016-06-08,2.681
2016-06-09,-6.0342
2016-06-10,-5.7116
2016-06-13,-1.6699000000000002
2016-06-14,2.7972
2016-06-15,5.3774
2016-06-16,-3.7811
2016-06-17,-5.1438
2016-06-20,-0.0337
2016-06-21,-7.0418
2016-06-22,1.776
