ticker,DGICA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-04-25,2.7619
2001-04-26,13.531
2001-04-27,17.2245
2001-04-30,-12.2563
2001-05-01,1.5873
2001-05-04,5.4687
2001-05-08,-6.2963000000000005
2001-05-09,0.3953
2001-05-10,1.4961
2001-05-14,1.6419000000000001
2001-05-15,0.0
2001-05-17,-2.6923
2001-05-21,0.7905
2001-05-22,-0.3137
2001-05-23,0.3147
2001-05-24,1.5686
2001-05-25,-1.1583
2001-05-30,7.8125
2001-05-31,-1.2319
2001-06-01,-0.9538
2001-06-04,4.4444
2001-06-05,0.4255
2001-06-06,0.7062
2001-06-07,-1.4727000000000001
2001-06-08,-2.847
2001-06-11,2.5641
2001-06-12,-3.5714
2001-06-13,1.1111
2001-06-14,0.7326
2001-06-15,1.8182
2001-06-19,-5.3571
2001-06-20,0.0
2001-06-21,-1.3585
2001-06-22,-0.8416
2001-06-26,-0.0772
2001-06-27,0.0
2001-06-29,0.0
2001-07-03,0.0
2001-07-06,0.0
2001-07-09,0.0
2001-07-10,-0.3861
2001-07-18,0.4651
2001-07-19,0.0772
2001-07-23,-0.0771
2001-07-24,1.0802
2001-07-25,0.687
2001-07-26,-1.5163
2001-07-27,9.6228
2001-07-30,-4.9157
2001-07-31,4.1667
2001-08-01,-1.7856999999999998
2001-08-02,-2.2545
2001-08-06,0.8185
2001-08-08,-0.738
2001-08-09,0.0
2001-08-13,-0.9665
2001-08-14,1.3514
2001-08-16,4.4444
2001-08-17,-0.3546
2001-08-20,1.4235
2001-08-21,-0.7018
2001-08-22,-1.0601
2001-08-23,0.0714
2001-08-24,0.0
2001-08-28,-0.0714
2001-08-30,0.0
2001-09-07,0.0
2001-09-10,0.0
2001-09-17,-4.6429
2001-09-19,1.9476
2001-09-20,1.7633999999999999
2001-09-21,-1.083
2001-09-24,-0.365
2001-09-25,-0.5128
2001-09-26,-0.3682
2001-09-27,-1.7738
2001-09-28,-8.4274
2001-10-01,-1.3969
2001-10-02,-0.75
2001-10-03,0.7557
2001-10-04,0.0
2001-10-09,-3.5833
2001-10-12,-1.6421999999999999
2001-10-15,-1.9332
2001-10-16,-0.0896
2001-10-18,-9.148
2001-10-19,-2.3692
2001-10-22,-0.4044
2001-10-23,8.0203
2001-10-24,1.5977000000000001
2001-10-25,-0.185
2001-10-30,-2.6877
2001-10-31,-5.7692
2001-11-01,-3.0408
2001-11-02,2.61
2001-11-05,0.0
2001-11-06,0.0
2001-11-08,0.0
2001-11-09,1.0256
