ticker,NVR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4869
2000-01-04,-1.2081
2000-01-05,-0.2717
2000-01-06,0.0
2000-01-07,1.9074
2000-01-10,1.3369
2000-01-11,0.2639
2000-01-12,0.6579
2000-01-13,2.2222
2000-01-14,-0.1279
2000-01-18,-2.1767
2000-01-19,0.0
2000-01-20,1.0471
2000-01-21,0.6477
2000-01-24,0.3861
2000-01-25,1.0256
2000-01-26,-1.2690000000000001
2000-01-27,-3.0848
2000-01-28,-1.5915
2000-01-31,-2.4259
2000-02-01,-0.8287
2000-02-02,-0.5571
2000-02-03,-0.5602
2000-02-04,2.1127
2000-02-07,1.2414
2000-02-08,0.0
2000-02-09,-3.6785
2000-02-10,-4.3847
2000-02-11,0.5917
2000-02-14,0.5882
2000-02-15,1.462
2000-02-16,1.1527
2000-02-17,0.5698
2000-02-18,-2.1246
2000-02-22,-0.7236
2000-02-23,1.4577
2000-02-24,2.5862
2000-02-25,-1.1204
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.5666
2000-03-02,0.2817
2000-03-03,-0.7022
2000-03-06,0.9901
2000-03-07,-0.5602
2000-03-08,-0.5634
2000-03-09,1.4163999999999999
2000-03-10,-0.2793
2000-03-13,-0.5602
2000-03-14,0.4225
2000-03-15,0.0
2000-03-16,4.9088
2000-03-17,5.8824
2000-03-20,2.0202
2000-03-21,2.4752
2000-03-22,5.4348
2000-03-23,-0.8018
2000-03-24,-0.5774
2000-03-27,-1.2776
2000-03-28,-2.0
2000-03-29,-0.4802
2000-03-30,4.222
2000-03-31,0.0
2000-04-03,0.463
2000-04-04,0.3456
2000-04-05,0.8037
2000-04-06,1.7084000000000001
2000-04-07,0.112
2000-04-10,-0.8949
2000-04-11,-0.6772
2000-04-12,-0.3409
2000-04-13,-0.114
2000-04-14,-1.7123
2000-04-17,-1.9744000000000002
2000-04-18,0.0
2000-04-19,0.1185
2000-04-20,0.7101
2000-04-24,0.8226
2000-04-25,-0.2331
2000-04-26,10.2804
2000-04-27,0.0
2000-04-28,5.0847
2000-05-01,2.0161
2000-05-02,-1.9763
2000-05-03,-1.6129
2000-05-04,1.0246
2000-05-05,1.4199
2000-05-08,-0.3
2000-05-09,0.5015
2000-05-10,-0.3992
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,-0.7014
2000-05-16,-0.3027
2000-05-17,-0.8097
2000-05-18,-1.6327
2000-05-19,-1.7635
2000-05-22,-3.1679
2000-05-23,-0.7634
