ticker,MDNL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-24,3.6036
2014-03-25,34.7826
2014-03-27,0.0
2014-05-05,-2.9032
2014-10-16,0.3322
2014-10-20,-13.9073
2014-10-22,-9.6154
2014-10-29,-14.8936
2014-11-05,0.0
2014-11-12,0.0
2014-11-13,12.5
2017-10-04,-75.5556
