ticker,GERN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.9703
2000-01-04,6.7308
2000-01-05,3.6036
2000-01-06,5.6522
2000-01-07,-4.1152
2000-01-10,18.8841
2000-01-11,-8.3032
2000-01-12,3.9370000000000003
2000-01-13,2.6515
2000-01-14,4.428
2000-01-18,10.9541
2000-01-19,6.6879
2000-01-20,17.3134
2000-01-21,28.4987
2000-01-24,18.4158
2000-01-25,-11.538499999999999
2000-01-26,-9.6408
2000-01-27,6.6946
2000-01-28,-8.4314
2000-01-31,7.9229
2000-02-01,-3.1746
2000-02-02,-2.0492
2000-02-03,6.2762
2000-02-04,-1.9685000000000001
2000-02-07,12.8514
2000-02-08,9.7865
2000-02-09,-9.0762
2000-02-10,1.2478
2000-02-11,-0.7042
2000-02-14,5.3191
2000-02-15,17.5084
2000-02-16,8.1662
2000-02-17,8.0795
2000-02-18,5.1471
2000-02-22,-0.1166
2000-02-23,-5.1342
2000-02-24,-7.9951
2000-02-25,0.9358
2000-02-28,1.9868000000000001
2000-02-29,13.8961
2000-03-01,27.366
2000-03-02,-4.9239
2000-03-03,2.4482
2000-03-06,-4.0441
2000-03-07,-10.5364
2000-03-08,-3.9347
2000-03-09,-8.1638
2000-03-10,13.5922
2000-03-13,-14.3162
2000-03-14,-23.9401
2000-03-15,6.8852
2000-03-16,8.2822
2000-03-17,-6.7989
2000-03-20,-14.5897
2000-03-21,-0.5338
2000-03-22,10.7335
2000-03-23,-8.2391
2000-03-24,-6.338
2000-03-27,-3.3835
2000-03-28,-10.5058
2000-03-29,-10.6522
2000-03-30,-6.5693
2000-03-31,15.625
2000-04-03,-8.0518
2000-04-04,-5.2051
2000-04-05,10.0775
2000-04-06,4.9296
2000-04-07,-1.7896999999999998
2000-04-10,-8.656
2000-04-11,-0.2494
2000-04-12,-6.0
2000-04-13,1.0638
2000-04-14,-18.6842
2000-04-17,-10.0324
2000-04-18,19.7842
2000-04-19,1.2012
2000-04-20,-2.0772
2000-04-24,-5.1515
2000-04-25,8.3067
2000-04-26,-0.885
2000-04-27,7.1429
2000-04-28,15.8333
2000-05-01,3.5971
2000-05-02,-11.1111
2000-05-03,-9.8958
2000-05-04,8.3815
2000-05-05,1.8667
2000-05-08,-2.6178
2000-05-09,-4.3011
2000-05-10,-6.7416
2000-05-11,-1.506
2000-05-12,1.5291000000000001
2000-05-15,1.2048
2000-05-16,0.0
2000-05-17,-2.9762
2000-05-18,0.0
2000-05-19,-5.2147
2000-05-22,-5.8252
