ticker,TGLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-11,-1.0
2012-05-14,1.0101
2012-05-15,-0.5102
2012-05-17,-1.5385
2012-05-22,0.9375
2012-05-23,-0.9288
2012-05-24,0.0
2012-05-25,0.0
2012-05-31,0.1042
2012-06-06,0.9365
2012-06-08,-1.5464
2012-06-13,0.5236
2012-06-15,0.0
2012-09-04,0.0
2012-09-07,0.8333
2012-09-13,0.4132
2012-09-24,0.8218
2012-10-08,0.0013
2012-10-10,0.5102
2012-10-11,0.0
2012-10-15,-0.4061
2012-10-18,-0.1019
2012-10-26,0.102
2012-11-02,0.9174
2012-11-05,0.0
2012-11-12,-0.6061
2012-11-30,0.1016
2012-12-03,0.0
2012-12-10,0.0
2012-12-11,-0.1003
2012-12-12,-0.0013
2012-12-14,1.0163
2012-12-19,0.0
2012-12-21,0.0
2012-12-31,-0.6036
2013-01-02,-0.1012
2013-01-22,0.8105
2013-01-25,0.0
2013-02-25,0.5025
2013-02-26,-1.0
2013-03-11,0.9091
2013-03-25,0.0
2013-04-10,0.0
2013-04-19,0.1001
2013-04-30,-0.8
2013-05-01,0.7056
2013-05-10,-0.5005
2013-05-13,-0.2012
2013-05-24,0.7044
2013-05-29,-0.1126
2013-06-03,0.114
2013-06-04,0.0
2013-06-14,-0.6006
2013-07-15,1.1078000000000001
2013-07-23,-0.3984
2013-07-24,0.5
2013-07-26,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-13,-0.0995
2013-08-14,0.0996
2013-08-16,0.0
2013-08-19,0.2985
2013-08-20,0.0
2013-09-16,-0.496
2013-09-17,0.0012
2013-09-25,1.4942
2013-09-26,-0.0982
2013-09-27,-1.0816
2013-09-30,0.0994
2013-10-01,0.7932
2013-10-02,0.0012
2013-10-03,0.0
2013-10-04,0.0
2013-10-07,0.197
2013-10-08,-0.0983
2013-10-09,-0.0984
2013-10-10,0.2956
2013-10-11,-0.2947
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,-0.0012
2013-10-18,0.0985
2013-10-21,0.0012
2013-10-23,0.0
2013-10-24,-0.0012
2013-10-28,0.0012
2013-10-31,-0.1969
2013-11-01,0.1972
2013-11-04,0.1969
2013-11-05,-0.0982
2013-11-08,0.0
2013-11-11,0.0
2013-11-12,-0.0983
2013-11-13,0.0
2013-11-14,0.0
2013-11-18,0.0984
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-25,-0.6883
2013-11-29,0.6931
2013-12-02,0.0
