ticker,KBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-16,22.0588
2006-11-17,5.7831
2006-11-20,1.9134
2006-11-21,-2.5034
2006-11-22,-2.3384
2006-11-24,3.2864
2006-11-27,-0.2273
2006-11-28,0.0
2006-11-29,0.6378
2006-11-30,0.2263
2006-12-01,-0.4517
2006-12-04,-0.4991
2006-12-05,-1.7328000000000001
2006-12-06,0.2784
2006-12-07,1.1106
2006-12-08,0.6865
2006-12-11,1.9091
2006-12-12,3.033
2006-12-13,-1.7316
2006-12-14,0.837
2006-12-15,3.5387
2006-12-18,0.7173
2006-12-19,4.3568999999999996
2006-12-20,4.2955
2006-12-21,0.077
2006-12-22,3.8462
2006-12-26,-0.7778
2006-12-27,0.8212
2006-12-28,-1.1477
2006-12-29,-2.0225
2007-01-03,-4.6254
2007-01-04,-1.1623
2007-01-05,-1.2976
2007-01-08,0.3698
2007-01-09,0.0
2007-01-10,0.9005
2007-01-11,1.5822
2007-01-12,-0.639
2007-01-16,-4.4212
2007-01-17,-1.0934
2007-01-18,1.6582
2007-01-19,1.0874
2007-01-22,-0.3724
2007-01-23,5.1495
2007-01-24,-2.5671
2007-01-25,-5.756
2007-01-26,0.8602
2007-01-29,-1.5352000000000001
2007-01-30,1.9056
2007-01-31,-0.425
2007-02-01,1.5792000000000002
2007-02-02,0.6303
2007-02-05,-2.0042
2007-02-06,-1.2782
2007-02-07,-0.82
2007-02-08,-3.2202
2007-02-09,-0.1799
2007-02-12,2.5225
2007-02-13,3.3392
2007-02-14,-0.4677
2007-02-15,-1.3242
2007-02-16,-0.9524
2007-02-20,-0.3059
2007-02-21,0.1315
2007-02-22,-0.1751
2007-02-23,-1.0965
2007-02-26,6.9623
2007-02-27,-6.9237
2007-02-28,1.1136
2007-03-01,-0.1762
2007-03-02,-3.8834999999999997
2007-03-05,2.2039
2007-03-06,3.549
2007-03-07,1.0846
2007-03-08,2.1459
2007-03-09,-2.1429
2007-03-12,-3.3491
2007-03-13,-2.4434
2007-03-14,-1.4117
2007-03-15,-0.7852
2007-03-16,-1.4432
2007-03-19,1.795
2007-03-20,-5.8004999999999995
2007-03-21,-1.4778
2007-03-22,1.2
2007-03-23,0.5435
2007-03-26,-0.0491
2007-03-27,-1.4258
2007-03-28,0.9975
2007-03-29,2.321
2007-03-30,-1.7856999999999998
2007-04-02,1.6707999999999998
2007-04-03,0.0
2007-04-04,-0.6283
2007-04-05,-0.0973
2007-04-09,0.0487
2007-04-10,3.6496
