ticker,SCPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,0.7143
2017-11-20,0.3546
2017-11-21,-1.0601
2017-11-22,1.1429
2017-11-24,-0.6356
2017-11-27,2.0611
2017-11-28,4.5265
2017-11-29,5.5963
2017-11-30,3.5962
2017-12-01,0.9744
2017-12-04,4.4029
2017-12-05,-9.8787
2017-12-06,-7.8205
2017-12-07,-3.6161
2017-12-08,5.4113
2017-12-11,2.1218
2017-12-12,-2.748
2017-12-13,-2.2743
2017-12-14,-1.5514999999999999
2017-12-15,-3.2951
2017-12-18,-2.8889
2017-12-19,-5.4157
2017-12-20,-2.3387000000000002
2017-12-21,-2.5599
2017-12-22,9.8305
2017-12-26,2.8548999999999998
2017-12-27,0.4501
2017-12-28,-5.6759
2017-12-29,-4.2755
2018-01-02,0.6617
2018-01-03,-3.1931
2018-01-04,-0.0119
2018-01-05,0.3396
2018-01-08,5.6684
2018-01-09,-3.0424
2018-01-10,1.1561
2018-01-11,0.0
2018-01-12,-2.0408
2018-01-16,1.9167
2018-01-17,0.0
2018-01-18,-0.1635
2018-01-19,-0.1638
2018-01-22,0.5742
2018-01-23,3.9152
2018-01-24,-0.9419
2018-01-25,2.0602
2018-01-26,-1.3975
2018-01-29,0.6299
2018-01-30,-0.2347
2018-01-31,0.0
2018-02-01,-1.8824
2018-02-02,-1.8385
2018-02-05,3.1759
2018-02-06,-5.4459
2018-02-07,1.0017
2018-02-08,-0.9917
2018-02-09,0.1669
2018-02-12,1.1667
2018-02-13,2.6359
2018-02-14,7.4639
2018-02-15,4.0329
2018-02-16,-0.5743
2018-02-20,9.6751
2018-02-21,0.0
2018-02-22,-1.2508
2018-02-23,2.3333
2018-02-26,1.4984
2018-02-27,-0.6098
2018-02-28,3.2612
2018-03-01,-0.6879
2018-03-02,-3.2746
2018-03-05,2.3438
2018-03-06,0.4453
2018-03-07,0.95
2018-03-08,0.0
2018-03-09,0.8156
2018-03-12,4.0448
2018-03-13,3.5885
2018-03-14,-8.776
2018-03-15,-6.7722
2018-03-16,-4.6164
2018-03-19,-4.7687
2018-03-20,-0.3737
2018-03-21,-6.3766
2018-03-22,3.8462
2018-03-23,-4.1667
2018-03-26,-3.6231999999999998
2018-03-27,-0.5848
2018-03-28,-2.3529
2018-03-29,6.7126
2018-04-02,-5.9677
2018-04-03,-5.8319
2018-04-04,6.3751999999999995
2018-04-05,-3.5959
2018-04-06,-2.1314
2018-04-09,-0.8167
2018-04-10,6.4044
2018-04-11,-1.9776
