ticker,KLFE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-09,0.0
2019-12-10,45.8333
2019-12-11,111.4286
2019-12-12,55.4054
2019-12-13,0.0
2019-12-16,-25.2174
2019-12-17,6.9744
2019-12-18,-2.1718
2019-12-19,-6.6667
2019-12-20,10.4762
2019-12-23,-9.4828
2019-12-24,0.0
2019-12-26,4.7619
2019-12-27,2.2727
2019-12-30,-1.1111
2019-12-31,-2.2472
2020-01-02,0.0
2020-01-03,-8.9655
2020-01-06,-9.3434
2020-01-07,-32.312
2020-01-08,19.7531
2020-01-09,-16.8351
2020-01-10,23.9618
2020-01-13,-12.3333
2020-01-14,-14.4487
2020-01-15,3.5556
2020-01-16,-13.7339
2020-01-17,0.0
2020-01-21,-6.9652
2020-01-22,-1.6042999999999998
2020-01-23,-2.1739
2020-01-24,-11.1111
2020-01-27,15.0
2020-01-28,17.9348
2020-01-29,1.8433000000000002
2020-01-30,-4.5249
2020-01-31,-9.9526
2020-02-03,-15.7895
2020-02-04,-3.125
2020-02-05,-10.3226
2020-02-06,-2.1583
2020-02-07,-8.0882
2020-02-10,0.0
2020-02-11,-4.8
2020-02-12,-7.563
2020-02-13,-0.9091
2020-02-14,16.5138
2020-02-18,-2.3622
2020-02-19,-7.2581
2020-02-20,2.6087
2020-02-21,-4.2373
2020-02-24,-2.2124
2020-02-25,-9.5023
2020-02-26,-10.2
2020-02-27,5.5679
2020-02-28,0.211
2020-03-02,18.947400000000002
2020-03-03,0.0
2020-03-04,-2.6549
2020-03-05,-1.8182
2020-03-06,0.0
2020-03-09,-17.5926
2020-03-10,-26.9663
2020-03-11,14.7692
2020-03-12,-6.1662
2020-03-13,7.1429
2020-03-16,-16.0
2020-03-17,-12.6984
2020-03-18,8.1818
2020-03-19,1.5126
2020-03-20,7.6159
2020-03-23,0.0
2020-03-24,6.1538
2020-03-25,8.6812
2020-03-26,-3.9872
2020-03-27,-2.7778
2020-03-30,-11.4286
2020-03-31,-6.4516
2020-04-01,-1.7241
2020-04-02,22.807
2020-04-03,-18.5714
2020-04-06,1.7544
2020-04-07,0.0
2020-04-08,-1.7241
2020-04-09,5.2632
2020-04-13,26.9583
2020-04-14,-1.5425
2020-04-15,-10.5333
2020-04-16,7.9694
2020-04-17,-3.3783
2020-04-20,-21.4286
2020-04-21,-5.8182
2020-04-22,14.8649
2020-04-23,-12.605
2020-04-24,0.0
2020-04-27,5.1923
2020-04-28,-3.1079
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,5.6604
2020-05-04,0.8929
2020-05-05,-7.9646
2020-05-06,-13.461500000000001
2020-05-07,15.5556
2020-05-08,-16.6346
2020-05-11,-7.7278
2020-05-12,-7.5
2020-05-13,34.8649
2020-05-14,2.2044
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,25.4902
2020-05-20,17.1875
2020-05-21,-1.3333
2020-05-22,-22.973
2020-05-26,31.5789
2020-05-27,-16.0
2020-05-28,61.9048
2020-05-29,2.9412000000000003
2020-06-01,0.0
2020-06-02,-14.2857
2020-06-03,0.0
2020-06-04,42.7778
2020-06-05,-1.9455
2020-06-08,14.2857
2020-06-09,-16.6667
2020-06-10,0.0
2020-06-11,-16.6667
2020-06-12,34.0
2020-06-15,-5.2239
2020-06-16,-5.5118
2020-06-17,5.8333
2020-06-18,-7.874
2020-06-19,6.8376
2020-06-22,-12.0
2020-06-23,-2.7273
2020-06-24,-1.8692
2020-06-25,-1.9048
2020-06-26,7.767
2020-06-29,-9.9099
2020-06-30,10.0
2020-07-01,-9.0909
2020-07-02,-4.45
2020-07-06,4.6572
2020-07-07,0.0
2020-07-08,-8.475
2020-07-09,4.7282
2020-07-10,-6.1057
2020-07-13,11.1111
2020-07-14,4.0
2020-07-15,-1.9231
2020-07-16,-14.7059
2020-07-17,14.8851
2020-07-20,2.051
2020-07-21,-2.0098
2020-07-22,-7.904
2020-07-23,-3.2862999999999998
2020-07-24,6.7116
2020-07-27,-10.473700000000001
2020-07-28,1.1758
2020-07-29,8.0767
2020-07-30,-18.2796
2020-07-31,17.8947
